window_id,num_ticks,num_valid_ticks,min_elapsed,max_elapsed,last_valid_time,resolve_time,winner,max_up_cents,max_down_cents,up_touch_90,down_touch_90,up_touch_90_pre_resolve,down_touch_90_pre_resolve,backward_jumps,ticks_truncated,parse_errors,has_issues
25_10_30_23_00_23_15,3,3,663.599,886.948,886.948,,UNCLEAR,0,1,0,0,0,0,0,0,0,1
25_10_30_23_15_23_30,133,133,900.172,1552.188,1552.188,,UNCLEAR,1,1,0,0,0,0,0,0,0,1
25_10_30_23_30_23_45,1,0,,,,,UNCLEAR,0,0,0,0,,,0,0,0,1
25_10_30_23_45_00_00,180,171,2700.253,3460.694,3460.694,3460.694,UP,100,51,1,0,1,0,0,0,0,0
25_10_31_00_00_00_15,868,867,0.061,764.555,764.555,764.555,UP,99,62,1,0,1,0,0,0,0,0
25_10_31_00_15_00_30,480,478,900.045,1550.935,1550.935,1550.935,DOWN,52,99,0,1,0,1,0,0,0,0
25_10_31_00_30_00_45,615,613,1800.167,2615.898,2615.898,2615.898,UP,99,62,1,0,1,0,0,0,0,0
25_10_31_00_45_01_00,439,436,2700.020,3206.859,3206.859,3206.859,UP,99,54,1,0,1,0,0,0,0,0
25_10_31_01_00_01_15,385,384,0.182,566.088,566.088,566.088,UP,99,67,1,0,1,0,0,0,0,0
25_10_31_01_15_01_30,785,778,900.208,1778.999,1778.999,1778.999,UP,99,64,1,0,1,0,0,0,0,0
25_10_31_01_30_01_45,435,432,1800.087,2496.391,2496.391,2496.391,DOWN,48,99,0,1,0,1,0,0,0,0
25_10_31_01_45_02_00,788,787,2700.071,3586.461,3586.461,3586.461,UP,99,75,1,0,1,0,0,0,0,1
25_10_31_02_00_02_15,376,375,0.058,618.540,618.540,618.540,DOWN,60,99,0,1,0,1,0,0,0,0
25_10_31_02_15_02_30,370,369,900.041,1486.640,1486.640,1486.640,UP,99,51,1,0,1,0,0,0,0,0
25_10_31_02_30_02_45,333,331,1800.327,2304.049,2304.049,2304.049,DOWN,60,99,0,1,0,1,0,0,0,0
25_10_31_02_45_03_00,832,831,2700.347,3583.266,3583.266,3583.266,UP,99,90,1,1,1,1,0,0,0,1
25_10_31_03_00_03_15,596,586,0.018,704.381,704.381,704.381,UP,99,92,1,1,1,1,0,0,0,0
