window_id,side,first_touch_time,entry_time,entry_price,spike_min,spike_max,exit_reason,exit_time,exit_price,pnl_per_share,pnl_invested,winner_at_settle,time_held,sl_triggered,tp_triggered,dynamic_sl_level
25_10_30_23_45_00_00,UP,2939.259,2949.259,93,91,93,TAKE_PROFIT,3133.869,97,0.04,0.043,UP,184.61,False,True,86
25_10_31_00_15_00_30,DOWN,1371.276,1381.276,91,88,97,STOP_LOSS,1393.377,85,-0.06,-0.0659,DOWN,12.1,True,False,86
25_10_31_01_00_01_15,UP,382.669,392.669,92,90,94,TAKE_PROFIT,431.185,97,0.05,0.0543,UP,38.52,False,True,86
25_10_31_01_30_01_45,DOWN,2029.083,2039.083,91,90,94,STOP_LOSS,2136.817,84,-0.07,-0.0769,DOWN,97.73,True,False,86
25_10_31_02_00_02_15,DOWN,365.975,375.975,91,91,94,STOP_LOSS,422.838,85,-0.06,-0.0659,DOWN,46.86,True,False,86
25_10_31_03_15_03_30,UP,1685.337,1695.337,91,90,98,TAKE_PROFIT,1699.916,97,0.06,0.0659,UP,4.58,False,True,86
25_10_31_04_00_04_15,UP,559.21,569.21,91,92,97,TAKE_PROFIT,569.689,97,0.06,0.0659,UP,0.48,False,True,86
25_10_31_04_15_04_30,UP,1329.681,1339.681,92,91,97,TAKE_PROFIT,1347.238,97,0.05,0.0543,UP,7.56,False,True,86
25_10_31_04_30_04_45,UP,2426.492,2436.492,91,91,97,TAKE_PROFIT,2440.807,97,0.06,0.0659,UP,4.31,False,True,86
25_10_31_04_45_05_00,UP,3479.081,3489.081,91,93,96,TAKE_PROFIT,3537.623,97,0.06,0.0659,UP,48.54,False,True,86
25_10_31_07_30_07_45,DOWN,2276.82,2286.82,91,92,93,TAKE_PROFIT,2578.97,97,0.06,0.0659,DOWN,292.15,False,True,86
25_10_31_10_00_10_15,DOWN,820.781,830.781,92,89,95,TAKE_PROFIT,833.967,97,0.05,0.0543,DOWN,3.19,False,True,86
25_10_31_10_30_10_45,UP,2391.278,2401.278,91,89,93,TAKE_PROFIT,2462.429,97,0.06,0.0659,UP,61.15,False,True,86
25_10_31_11_00_11_15,DOWN,441.85,451.85,91,90,94,TAKE_PROFIT,536.403,97,0.06,0.0659,DOWN,84.55,False,True,86
25_10_31_11_30_11_45,UP,2541.695,2551.695,91,89,97,TAKE_PROFIT,2558.859,97,0.06,0.0659,UP,7.16,False,True,86
25_10_31_11_45_12_00,UP,2886.631,2896.631,91,89,96,TAKE_PROFIT,2968.437,97,0.06,0.0659,UP,71.81,False,True,86
25_10_31_12_00_12_15,DOWN,669.899,679.899,91,91,94,TAKE_PROFIT,711.942,97,0.06,0.0659,DOWN,32.04,False,True,86
25_10_31_12_30_12_45,DOWN,2323.156,2333.156,93,88,93,TAKE_PROFIT,2368.438,97,0.04,0.043,DOWN,35.28,False,True,86
25_10_31_12_45_13_00,DOWN,3430.759,3440.759,92,89,94,TAKE_PROFIT,3487.513,97,0.05,0.0543,DOWN,46.75,False,True,86
25_10_31_14_00_14_15,UP,626.336,636.336,93,88,95,TAKE_PROFIT,641.167,97,0.04,0.043,DOWN,4.83,False,True,86
25_10_31_14_15_14_30,DOWN,1707.435,1717.435,91,88,94,TAKE_PROFIT,1721.013,97,0.06,0.0659,DOWN,3.58,False,True,86
25_10_31_14_45_15_00,UP,3214.525,3224.525,93,92,96,TAKE_PROFIT,3224.656,97,0.04,0.043,UP,0.13,False,True,86
25_10_31_15_45_16_00,DOWN,3336.041,3346.041,91,90,94,TAKE_PROFIT,3351.141,97,0.06,0.0659,DOWN,5.1,False,True,86
25_10_31_16_30_16_45,DOWN,2450.458,2460.458,91,90,94,TAKE_PROFIT,2471.282,97,0.06,0.0659,DOWN,10.82,False,True,86
25_10_31_16_45_17_00,DOWN,3014.68,3024.68,91,88,94,TAKE_PROFIT,3033.2,97,0.06,0.0659,DOWN,8.52,False,True,86
25_10_31_17_15_17_30,UP,1624.329,1634.329,91,90,94,STOP_LOSS,1645.341,85,-0.06,-0.0659,UP,11.01,True,False,86
25_10_31_19_15_19_30,UP,1217.997,1227.997,91,91,93,TAKE_PROFIT,1397.085,97,0.06,0.0659,UP,169.09,False,True,86
25_10_31_22_00_22_15,UP,609.33,619.33,91,91,93,STOP_LOSS,624.207,84,-0.07,-0.0769,UP,4.88,True,False,86
25_10_31_22_45_23_00,DOWN,3542.704,3552.704,93,88,97,TAKE_PROFIT,3553.63,97,0.04,0.043,DOWN,0.93,False,True,86
25_11_01_03_15_03_30,UP,1112.195,1122.195,91,90,93,TAKE_PROFIT,1164.765,97,0.06,0.0659,UP,42.57,False,True,86
25_11_01_03_30_03_45,UP,2254.16,2264.16,93,89,95,STOP_LOSS,2359.785,85,-0.08,-0.086,UP,95.62,True,False,86
25_11_01_03_45_04_00,UP,3435.991,3445.991,93,92,94,TAKE_PROFIT,3449.81,97,0.04,0.043,UP,3.82,False,True,86
25_11_01_04_00_04_15,UP,370.568,380.568,91,88,94,TAKE_PROFIT,429.067,97,0.06,0.0659,UP,48.5,False,True,86
25_11_01_04_15_04_30,UP,1578.291,1588.291,91,89,96,TAKE_PROFIT,1612.643,97,0.06,0.0659,UP,24.35,False,True,86
25_11_01_05_30_05_45,UP,2179.861,2189.861,91,89,94,TAKE_PROFIT,2235.861,97,0.06,0.0659,UP,46.0,False,True,86
25_11_01_06_00_06_15,DOWN,500.891,510.891,91,91,94,TAKE_PROFIT,527.476,97,0.06,0.0659,DOWN,16.58,False,True,86
25_11_01_06_30_06_45,UP,2042.779,2052.779,91,90,95,TAKE_PROFIT,2080.851,97,0.06,0.0659,UP,28.07,False,True,86
25_11_01_07_00_07_15,UP,387.611,397.611,93,91,95,TAKE_PROFIT,522.99,97,0.04,0.043,UP,125.38,False,True,86
25_11_01_08_45_09_00,UP,3128.246,3138.246,91,90,93,STOP_LOSS,3192.096,85,-0.06,-0.0659,UP,53.85,True,False,86
25_11_01_09_15_09_30,DOWN,1414.815,1424.815,93,92,97,TAKE_PROFIT,1426.771,97,0.04,0.043,DOWN,1.96,False,True,86
25_11_01_11_15_11_30,DOWN,1363.923,1373.923,91,90,93,TAKE_PROFIT,1425.292,97,0.06,0.0659,DOWN,51.37,False,True,86
25_11_01_13_30_13_45,DOWN,2341.56,2351.56,91,88,93,TAKE_PROFIT,2365.343,97,0.06,0.0659,DOWN,13.78,False,True,86
25_11_01_14_00_14_15,DOWN,588.796,598.796,91,90,96,TAKE_PROFIT,621.819,97,0.06,0.0659,DOWN,23.02,False,True,86
25_11_01_14_45_15_00,UP,3595.959,3605.959,91,96,96,SETTLEMENT_WIN,3599.695,100,0.09,0.0989,UP,-6.26,False,False,86
25_11_01_16_00_16_15,UP,369.158,379.158,92,91,93,STOP_LOSS,385.254,83,-0.09,-0.0978,DOWN,6.1,True,False,86
25_11_01_16_15_16_30,UP,1527.657,1537.657,91,90,98,TAKE_PROFIT,1538.336,97,0.06,0.0659,DOWN,0.68,False,True,86
25_11_01_17_00_17_15,DOWN,385.15,395.15,91,90,93,TAKE_PROFIT,421.462,97,0.06,0.0659,DOWN,26.31,False,True,86
25_11_01_17_30_17_45,UP,2297.044,2307.044,91,90,95,TAKE_PROFIT,2308.963,97,0.06,0.0659,UP,1.92,False,True,86
25_11_01_17_45_18_00,DOWN,3278.474,3288.474,91,89,93,TAKE_PROFIT,3366.36,97,0.06,0.0659,DOWN,77.89,False,True,86
25_11_01_21_30_21_45,DOWN,2221.063,2231.063,92,90,94,TAKE_PROFIT,2263.779,97,0.05,0.0543,DOWN,32.72,False,True,86
25_11_01_21_45_22_00,DOWN,2934.388,2944.388,91,88,93,TAKE_PROFIT,3171.342,97,0.06,0.0659,DOWN,226.95,False,True,86
25_11_01_22_45_23_00,UP,3433.084,3443.084,93,93,94,TAKE_PROFIT,3497.797,97,0.04,0.043,UP,54.71,False,True,86
25_11_01_23_00_23_15,DOWN,404.022,414.022,91,91,95,STOP_LOSS,431.326,80,-0.11,-0.1209,DOWN,17.3,True,False,86
25_11_01_23_30_23_45,DOWN,2226.239,2236.239,93,94,97,TAKE_PROFIT,2236.272,97,0.04,0.043,DOWN,0.03,False,True,86
25_11_02_01_15_01_30,UP,1563.055,1573.055,93,92,94,TAKE_PROFIT,1590.865,97,0.04,0.043,UP,17.81,False,True,86
25_11_02_03_15_03_30,DOWN,1547.058,1557.058,91,91,93,STOP_LOSS,1622.679,84,-0.07,-0.0769,DOWN,65.62,True,False,86
25_11_02_04_45_05_00,UP,3068.356,3078.356,91,89,95,STOP_LOSS,3173.868,85,-0.06,-0.0659,UP,95.51,True,False,86
25_11_02_05_15_05_30,DOWN,1343.361,1353.361,91,90,93,TAKE_PROFIT,1447.464,97,0.06,0.0659,DOWN,94.1,False,True,86
25_11_02_05_30_05_45,DOWN,2197.623,2207.623,92,90,95,TAKE_PROFIT,2217.86,97,0.05,0.0543,UP,10.24,False,True,86
25_11_02_05_45_06_00,UP,3423.019,3433.019,92,92,93,TAKE_PROFIT,3518.651,97,0.05,0.0543,UP,85.63,False,True,86
25_11_02_07_45_08_00,UP,3047.422,3057.422,91,90,95,TAKE_PROFIT,3063.696,97,0.06,0.0659,UP,6.27,False,True,86
25_11_02_09_00_09_15,UP,384.484,394.484,91,89,93,TAKE_PROFIT,448.039,97,0.06,0.0659,UP,53.56,False,True,86
25_11_02_09_45_10_00,UP,3386.954,3396.954,91,90,96,TAKE_PROFIT,3401.825,97,0.06,0.0659,UP,4.87,False,True,86
25_11_02_12_15_12_30,DOWN,1306.437,1316.437,92,91,95,TAKE_PROFIT,1331.033,97,0.05,0.0543,DOWN,14.6,False,True,86
25_11_02_12_30_12_45,DOWN,2258.949,2268.949,91,90,94,STOP_LOSS,2315.696,84,-0.07,-0.0769,DOWN,46.75,True,False,86
25_11_02_13_00_13_15,DOWN,380.656,390.656,91,90,93,TAKE_PROFIT,476.43,97,0.06,0.0659,DOWN,85.77,False,True,86
25_11_02_13_15_13_30,DOWN,1230.198,1240.198,91,90,93,TAKE_PROFIT,1339.842,97,0.06,0.0659,DOWN,99.64,False,True,86
25_11_02_15_00_15_15,DOWN,471.569,481.569,91,90,93,STOP_LOSS,555.816,85,-0.06,-0.0659,DOWN,74.25,True,False,86
25_11_02_15_45_16_00,DOWN,3462.512,3472.512,91,90,98,TAKE_PROFIT,3472.632,97,0.06,0.0659,DOWN,0.12,False,True,86
