window_id,spike_side,spike_price,spike_time,entry_side,entry_price,we_win,final_price,gross_pnl,fee,net_pnl
25_10_31_01_00_01_15,UP,91,382.7,DOWN,11,False,2,-1.1000,0.217827,-1.3178
25_10_31_02_00_02_15,DOWN,90,366.0,UP,11,False,2,-1.1000,0.217827,-1.3178
25_10_31_03_00_03_15,DOWN,90,283.6,UP,12,True,99,8.8000,0.232320,8.5677
25_10_31_04_00_04_15,UP,90,559.4,DOWN,11,False,6,-1.1000,0.217827,-1.3178
25_10_31_05_00_05_15,DOWN,90,236.0,UP,11,False,2,-1.1000,0.217827,-1.3178
25_10_31_08_00_08_15,UP,90,265.3,DOWN,12,True,99,8.8000,0.232320,8.5677
25_10_31_10_00_10_15,DOWN,91,820.8,UP,10,False,5,-1.0000,0.202500,-1.2025
25_10_31_11_00_11_15,DOWN,90,441.9,UP,12,False,2,-1.2000,0.232320,-1.4323
25_10_31_12_00_12_15,DOWN,90,669.9,UP,12,False,2,-1.2000,0.232320,-1.4323
25_10_31_14_00_14_15,UP,93,626.4,DOWN,9,True,98,9.1000,0.186323,8.9137
25_10_31_15_00_15_15,UP,94,573.8,DOWN,10,True,99,9.0000,0.202500,8.7975
25_10_31_18_00_18_15,UP,90,432.1,DOWN,12,False,4,-1.2000,0.232320,-1.4323
25_10_31_20_00_20_15,DOWN,93,315.6,UP,10,False,9,-1.0000,0.202500,-1.2025
25_11_01_01_00_01_15,UP,90,220.9,DOWN,12,False,2,-1.2000,0.232320,-1.4323
25_11_01_05_00_05_15,DOWN,90,291.3,UP,11,False,2,-1.1000,0.217827,-1.3178
25_11_01_06_00_06_15,DOWN,90,500.9,UP,12,False,2,-1.2000,0.232320,-1.4323
25_11_01_11_00_11_15,UP,90,405.3,DOWN,12,False,2,-1.2000,0.232320,-1.4323
25_11_01_12_00_12_15,UP,90,555.7,DOWN,12,False,94,-1.2000,0.232320,-1.4323
25_11_01_14_00_14_15,DOWN,90,588.8,UP,12,False,2,-1.2000,0.232320,-1.4323
25_11_01_15_00_15_15,UP,91,313.2,DOWN,11,False,2,-1.1000,0.217827,-1.3178
25_11_01_16_00_16_15,UP,91,369.2,DOWN,10,True,98,9.0000,0.202500,8.7975
25_11_01_17_00_17_15,DOWN,90,385.1,UP,12,False,3,-1.2000,0.232320,-1.4323
25_11_01_18_00_18_15,UP,94,533.7,DOWN,7,False,2,-0.7000,0.151357,-0.8514
25_11_01_20_00_20_15,UP,92,693.7,DOWN,9,False,3,-0.9000,0.186323,-1.0863
25_11_01_22_00_22_15,UP,91,159.9,DOWN,12,False,2,-1.2000,0.232320,-1.4323
25_11_02_04_00_04_15,UP,92,447.9,DOWN,12,False,4,-1.2000,0.232320,-1.4323
25_11_02_05_00_05_15,DOWN,96,530.9,UP,12,False,2,-1.2000,0.232320,-1.4323
25_11_02_12_00_12_15,DOWN,94,582.0,UP,12,False,2,-1.2000,0.232320,-1.4323
25_11_02_14_00_14_15,DOWN,92,741.0,UP,12,False,4,-1.2000,0.232320,-1.4323
25_11_02_15_00_15_15,DOWN,90,471.6,UP,12,False,2,-1.2000,0.232320,-1.4323
25_11_02_16_00_16_15,DOWN,91,35.4,UP,12,False,2,-1.2000,0.232320,-1.4323
25_11_02_23_00_23_15,UP,90,123.8,DOWN,11,False,1,-1.1000,0.217827,-1.3178
25_11_03_11_00_11_15,UP,90,207.8,DOWN,11,False,3,-1.1000,0.217827,-1.3178
25_11_03_12_00_12_15,UP,92,270.2,DOWN,10,False,2,-1.0000,0.202500,-1.2025
25_11_03_13_00_13_15,DOWN,90,617.8,UP,11,False,2,-1.1000,0.217827,-1.3178
25_11_03_15_00_15_15,DOWN,90,390.8,UP,12,False,2,-1.2000,0.232320,-1.4323
25_11_04_03_00_03_15,DOWN,90,420.3,UP,12,True,99,8.8000,0.232320,8.5677
25_11_04_10_00_10_15,DOWN,90,807.1,UP,11,False,5,-1.1000,0.217827,-1.3178
25_11_04_14_00_14_15,UP,90,716.5,DOWN,11,False,75,-1.1000,0.217827,-1.3178
25_11_04_18_00_18_15,DOWN,90,259.7,UP,12,False,2,-1.2000,0.232320,-1.4323
25_11_04_19_00_19_15,DOWN,90,556.7,UP,12,False,95,-1.2000,0.232320,-1.4323
25_11_04_21_00_21_15,DOWN,91,704.1,UP,12,False,2,-1.2000,0.232320,-1.4323
25_11_05_09_00_09_15,UP,90,472.7,DOWN,12,False,3,-1.2000,0.232320,-1.4323
25_11_05_10_00_10_15,DOWN,90,653.7,UP,12,False,2,-1.2000,0.232320,-1.4323
25_11_05_16_00_16_15,DOWN,90,413.0,UP,12,False,2,-1.2000,0.232320,-1.4323
25_11_05_17_00_17_15,DOWN,90,369.9,UP,12,False,3,-1.2000,0.232320,-1.4323
25_11_06_02_00_02_15,DOWN,90,595.5,UP,12,False,2,-1.2000,0.232320,-1.4323
25_11_06_03_00_03_15,UP,91,426.9,DOWN,11,False,2,-1.1000,0.217827,-1.3178
25_11_06_17_00_17_15,UP,90,603.4,DOWN,11,False,2,-1.1000,0.217827,-1.3178
25_11_06_20_00_20_15,UP,90,734.0,DOWN,11,True,99,8.9000,0.217827,8.6822
25_11_07_00_00_00_15,DOWN,93,785.3,UP,11,False,85,-1.1000,0.217827,-1.3178
25_11_07_03_00_03_15,UP,92,278.7,DOWN,11,False,3,-1.1000,0.217827,-1.3178
25_11_07_04_00_04_15,DOWN,94,400.3,UP,10,False,3,-1.0000,0.202500,-1.2025
