window_id,side,entry_price,secs_left,won,reversal,persist_2s,persist_3s,persist_5s,opp_max_5s,opp_max_10s,opp_max_15s
25_10_30_23_45_00_00,UP,92,-2039.3,1,0,1,1,1,10,10,10
25_10_31_00_00_00_15,UP,90,296.1,1,0,1,1,1,13,13,13
25_10_31_00_15_00_30,DOWN,90,-471.3,1,0,1,1,1,12,14,14
25_10_31_00_30_00_45,UP,90,-1575.6,1,0,1,1,1,13,13,13
25_10_31_00_45_01_00,UP,90,-2096.4,1,0,0,0,0,14,15,15
25_10_31_01_00_01_15,UP,91,517.3,1,0,1,1,1,12,12,12
25_10_31_01_15_01_30,UP,90,-680.2,1,0,0,0,0,12,12,12
25_10_31_01_30_01_45,DOWN,90,-1129.1,1,0,1,1,1,12,12,12
25_10_31_01_45_02_00,UP,90,-2134.5,1,0,1,1,1,12,14,14
25_10_31_02_00_02_15,DOWN,90,534.0,1,0,1,1,1,11,11,11
25_10_31_02_15_02_30,UP,90,-226.8,1,0,1,1,0,13,15,16
25_10_31_02_30_02_45,DOWN,90,-1259.4,1,0,0,0,0,15,15,15
25_10_31_02_45_03_00,DOWN,90,-2142.8,0,1,1,1,1,12,19,19
25_10_31_03_00_03_15,DOWN,90,616.4,0,1,1,1,1,12,13,13
25_10_31_03_15_03_30,UP,90,-785.3,1,0,1,1,1,12,12,12
25_10_31_03_30_03_45,UP,90,-1279.6,0,1,1,1,1,12,13,18
25_10_31_03_45_04_00,UP,90,-1895.6,1,0,1,1,1,14,14,14
25_10_31_04_00_04_15,UP,90,340.8,1,0,1,1,1,11,11,11
25_10_31_04_15_04_30,UP,91,-429.7,1,0,1,1,1,12,12,12
25_10_31_04_30_04_45,UP,90,-1526.5,1,0,1,1,1,12,12,12
25_10_31_04_45_05_00,UP,90,-2579.1,1,0,1,1,1,12,12,12
25_10_31_05_00_05_15,DOWN,90,664.0,1,0,1,1,1,12,15,15
25_10_31_05_15_05_30,UP,90,-784.3,1,0,0,0,0,24,24,24
