slip_entry,slip_exit,trades,ev_invested,worst_loss,gaps,max_dd
0,0,999,0.0423,-0.2111,3,0.0062
0,1,999,0.0394,-0.2222,3,0.0068
0,2,999,0.0366,-0.2333,3,0.0075
0,3,999,0.0338,-0.2444,3,0.0081
1,0,999,0.0311,-0.2198,3,0.0065
1,1,999,0.0283,-0.2308,3,0.0072
1,2,999,0.0255,-0.2418,3,0.0083
1,3,999,0.0227,-0.2527,5,0.0099
2,0,999,0.0207,-0.2283,3,0.0076
2,1,999,0.0179,-0.2391,3,0.0091
2,2,999,0.0151,-0.25,5,0.0106
2,3,999,0.0124,-0.2609,7,0.0141
3,0,999,0.0117,-0.2366,3,0.0097
3,1,999,0.009,-0.2473,4,0.0137
3,2,999,0.0062,-0.2581,7,0.0199
3,3,999,0.0035,-0.2688,9,0.0279
4,0,999,0.0117,-0.2366,3,0.0097
4,1,999,0.009,-0.2473,4,0.0137
4,2,999,0.0062,-0.2581,7,0.0199
4,3,999,0.0035,-0.2688,9,0.0279
