window_id,trade_type,side,entry_price,entry_time,reversal_score,won,gross_pnl,fee,net_pnl
25_10_31_01_00_01_15,fullset,BOTH,94,25.6,0,True,1.2000,0.645660,0.5543
25_10_31_02_00_02_15,fullset,BOTH,98,232.9,0,True,0.4000,0.520380,-0.1204
25_10_31_03_00_03_15,fullset,BOTH,98,484.4,0,True,0.4000,0.293805,0.1062
25_10_31_04_00_04_15,directional,UP,92,561.9,-1,False,-9.2000,0.014720,-9.2147
25_10_31_05_00_05_15,fullset,BOTH,98,465.8,0,True,0.4000,0.414380,-0.0144
25_10_31_06_00_06_15,fullset,BOTH,97,306.0,0,True,0.6000,0.559717,0.0403
25_10_31_09_00_09_15,fullset,BOTH,98,399.4,0,True,0.4000,0.630620,-0.2306
25_10_31_10_00_10_15,fullset,BOTH,94,24.2,0,True,1.2000,0.610260,0.5897
25_10_31_12_00_12_15,fullset,BOTH,98,157.7,0,True,0.4000,0.636980,-0.2370
25_10_31_14_00_14_15,fullset,BOTH,97,414.1,0,True,0.6000,0.607133,-0.0071
25_10_31_15_00_15_15,directional,DOWN,94,426.4,-1,True,0.6000,0.008460,0.5915
25_10_31_15_00_15_15,fullset,BOTH,97,483.0,0,True,0.6000,0.505218,0.0948
25_10_31_18_00_18_15,fullset,BOTH,98,28.7,0,True,0.4000,0.599085,-0.1991
25_11_01_00_00_00_15,directional,DOWN,96,314.1,-1,True,0.4000,0.003840,0.3962
25_11_01_03_00_03_15,fullset,BOTH,98,82.6,0,True,0.4000,0.610745,-0.2107
25_11_01_05_00_05_15,directional,DOWN,94,333.2,-1,True,0.6000,0.008460,0.5915
25_11_01_06_00_06_15,fullset,BOTH,97,266.6,0,True,0.6000,0.642557,-0.0426
25_11_01_07_00_07_15,fullset,BOTH,97,20.1,0,True,0.6000,0.577703,0.0223
25_11_01_15_00_15_15,directional,UP,94,340.4,-1,True,0.6000,0.008460,0.5915
25_11_01_16_00_16_15,fullset,BOTH,98,243.5,0,True,0.4000,0.610745,-0.2107
25_11_01_17_00_17_15,fullset,BOTH,98,251.4,0,True,0.4000,0.497060,-0.0971
25_11_01_18_00_18_15,directional,UP,94,533.7,-1,True,0.6000,0.008460,0.5915
25_11_01_20_00_20_15,fullset,BOTH,96,236.8,0,True,0.8000,0.647840,0.1522
25_11_01_22_00_22_15,fullset,BOTH,98,23.8,0,True,0.4000,0.458105,-0.0581
25_11_01_23_00_23_15,directional,DOWN,93,404.7,-1,True,0.7000,0.011392,0.6886
25_11_01_23_00_23_15,fullset,BOTH,97,560.4,0,True,0.6000,0.406027,0.1940
25_11_02_02_00_02_15,fullset,BOTH,96,11.5,0,True,0.8000,0.513440,0.2866
25_11_02_04_00_04_15,fullset,BOTH,98,152.2,0,True,0.4000,0.569405,-0.1694
25_11_02_05_00_05_15,fullset,BOTH,97,132.7,0,True,0.6000,0.618578,-0.0186
25_11_02_10_00_10_15,fullset,BOTH,93,311.6,0,True,1.4000,0.402222,0.9978
25_11_02_12_00_12_15,fullset,BOTH,96,445.4,0,True,0.8000,0.558240,0.2418
25_11_02_15_00_15_15,fullset,BOTH,97,98.9,0,True,0.6000,0.568982,0.0310
25_11_02_16_00_16_15,fullset,BOTH,95,36.1,0,True,1.0000,0.292288,0.7077
25_11_02_18_00_18_15,fullset,BOTH,98,510.2,0,True,0.4000,0.531245,-0.1312
25_11_02_20_00_20_15,fullset,BOTH,95,110.0,0,True,1.0000,0.585538,0.4145
25_11_02_22_00_22_15,fullset,BOTH,92,419.9,0,True,1.6000,0.645570,0.9544
25_11_02_23_00_23_15,fullset,BOTH,94,11.5,0,True,1.2000,0.593740,0.6063
25_11_03_06_00_06_15,fullset,BOTH,96,52.6,0,True,0.8000,0.631040,0.1690
25_11_03_09_00_09_15,fullset,BOTH,98,222.8,0,True,0.4000,0.508985,-0.1090
25_11_03_11_00_11_15,directional,UP,93,318.6,-1,True,0.7000,0.011392,0.6886
25_11_03_12_00_12_15,directional,UP,92,270.2,-1,True,0.8000,0.014720,0.7853
25_11_03_16_00_16_15,fullset,BOTH,98,359.8,0,True,0.4000,0.634860,-0.2349
25_11_03_18_00_18_15,fullset,BOTH,98,534.8,0,True,0.4000,0.636185,-0.2362
25_11_03_21_00_21_15,fullset,BOTH,98,300.6,0,True,0.4000,0.398745,0.0013
25_11_03_22_00_22_15,directional,DOWN,92,370.9,-1,True,0.8000,0.014720,0.7853
25_11_04_02_00_02_15,directional,DOWN,94,350.4,-1,True,0.6000,0.008460,0.5915
25_11_04_11_00_11_15,fullset,BOTH,98,177.8,0,True,0.4000,0.551385,-0.1514
25_11_05_03_00_03_15,fullset,BOTH,98,103.2,0,True,0.4000,0.610745,-0.2107
25_11_05_14_00_14_15,fullset,BOTH,98,513.9,0,True,0.4000,0.458105,-0.0581
25_11_05_18_00_18_15,fullset,BOTH,98,476.2,0,True,0.4000,0.634860,-0.2349
25_11_05_22_00_22_15,fullset,BOTH,97,220.8,0,True,0.6000,0.437092,0.1629
25_11_06_07_00_07_15,fullset,BOTH,98,244.6,0,True,0.4000,0.531245,-0.1312
25_11_06_08_00_08_15,fullset,BOTH,98,23.8,0,True,0.4000,0.592460,-0.1925
25_11_06_09_00_09_15,fullset,BOTH,98,184.5,0,True,0.4000,0.293805,0.1062
25_11_06_10_00_10_15,fullset,BOTH,96,439.2,0,True,0.8000,0.305960,0.4940
25_11_06_12_00_12_15,fullset,BOTH,98,11.6,0,True,0.4000,0.634860,-0.2349
25_11_06_13_00_13_15,directional,UP,92,485.4,-1,True,0.8000,0.014720,0.7853
25_11_06_20_00_20_15,fullset,BOTH,98,485.7,0,True,0.4000,0.520380,-0.1204
25_11_06_23_00_23_15,fullset,BOTH,97,251.6,0,True,0.6000,0.389678,0.2103
25_11_07_02_00_02_15,fullset,BOTH,97,528.2,0,True,0.6000,0.642557,-0.0426
25_11_07_03_00_03_15,fullset,BOTH,98,278.2,0,True,0.4000,0.234180,0.1658
25_11_07_09_00_09_15,directional,DOWN,93,465.5,-1,True,0.7000,0.011392,0.6886
25_11_07_11_00_11_15,directional,DOWN,92,246.5,-1,True,0.8000,0.014720,0.7853
25_11_07_18_00_18_15,fullset,BOTH,98,412.0,0,True,0.4000,0.520380,-0.1204
25_11_08_05_00_05_15,directional,UP,93,438.0,-1,False,-9.3000,0.011392,-9.3114
25_11_08_06_00_06_15,fullset,BOTH,97,185.9,0,True,0.6000,0.492683,0.1073
25_11_08_09_00_09_15,fullset,BOTH,97,191.8,0,True,0.6000,0.451807,0.1482
25_11_08_14_00_14_15,fullset,BOTH,98,474.1,0,True,0.4000,0.330905,0.0691
25_11_08_15_00_15_15,fullset,BOTH,97,131.8,0,True,0.6000,0.642557,-0.0426
25_11_08_17_00_17_15,directional,DOWN,96,492.5,-1,True,0.4000,0.003840,0.3962
25_11_08_19_00_19_15,fullset,BOTH,98,481.8,0,True,0.4000,0.624260,-0.2243
25_11_09_04_00_04_15,fullset,BOTH,97,148.0,0,True,0.6000,0.641468,-0.0415
25_11_09_07_00_07_15,fullset,BOTH,97,180.8,0,True,0.6000,0.634928,-0.0349
25_11_09_12_00_12_15,fullset,BOTH,98,307.9,0,True,0.4000,0.551385,-0.1514
25_11_09_16_00_16_15,fullset,BOTH,98,251.4,0,True,0.4000,0.508985,-0.1090
25_11_09_18_00_18_15,fullset,BOTH,98,185.6,0,True,0.4000,0.624260,-0.2243
25_11_09_19_00_19_15,fullset,BOTH,98,354.9,0,True,0.4000,0.497060,-0.0971
25_11_09_23_00_23_15,directional,UP,92,104.7,-1,True,0.8000,0.014720,0.7853
25_11_10_00_00_00_15,fullset,BOTH,98,40.3,0,True,0.4000,0.585305,-0.1853
25_11_10_03_00_03_15,fullset,BOTH,98,373.6,0,True,0.4000,0.508985,-0.1090
25_11_10_05_00_05_15,directional,UP,94,484.6,-1,True,0.6000,0.008460,0.5915
25_11_10_11_00_11_15,fullset,BOTH,98,556.7,0,True,0.4000,0.577620,-0.1776
25_11_10_13_00_13_15,directional,UP,92,253.4,-1,True,0.8000,0.014720,0.7853
25_11_11_07_00_07_15,fullset,BOTH,98,321.2,0,True,0.4000,0.610745,-0.2107
25_11_11_11_00_11_15,fullset,BOTH,98,208.6,0,True,0.4000,0.382580,0.0174
25_11_11_12_00_12_15,fullset,BOTH,97,121.6,0,True,0.6000,0.627842,-0.0278
25_11_11_19_00_19_15,fullset,BOTH,97,149.5,0,True,0.6000,0.299753,0.3002
25_11_11_23_00_23_15,fullset,BOTH,98,499.7,0,True,0.4000,0.615780,-0.2158
25_11_12_00_00_00_15,fullset,BOTH,98,144.7,0,True,0.4000,0.293805,0.1062
25_11_12_04_00_04_15,fullset,BOTH,98,421.3,0,True,0.4000,0.429485,-0.0295
25_11_12_05_00_05_15,fullset,BOTH,98,10.7,0,True,0.4000,0.633005,-0.2330
25_11_12_08_00_08_15,fullset,BOTH,98,73.7,0,True,0.4000,0.633005,-0.2330
25_11_12_16_00_16_15,fullset,BOTH,98,126.4,0,True,0.4000,0.599085,-0.1991
25_11_12_20_00_20_15,fullset,BOTH,98,493.8,0,True,0.4000,0.520380,-0.1204
