window_id,type,side,entry,time,score,won,gross,fee,net
25_10_31_01_00_01_15,fullset,BOTH,94,25.6,0,True,1.2000,0.6457,0.5543
25_10_31_04_00_04_15,directional,UP,92,561.9,-1,False,-9.2000,0.0147,-9.2147
25_10_31_10_00_10_15,fullset,BOTH,94,24.2,0,True,1.2000,0.6103,0.5897
25_10_31_15_00_15_15,directional,DOWN,94,426.4,-1,True,0.6000,0.0085,0.5915
25_11_01_00_00_00_15,directional,DOWN,96,314.1,-1,True,0.4000,0.0038,0.3962
25_11_01_05_00_05_15,directional,DOWN,94,333.2,-1,True,0.6000,0.0085,0.5915
25_11_01_07_00_07_15,directional,UP,92,392.2,-1,True,0.8000,0.0147,0.7853
25_11_01_15_00_15_15,directional,UP,94,340.4,-1,True,0.6000,0.0085,0.5915
25_11_01_18_00_18_15,directional,UP,94,533.7,-1,True,0.6000,0.0085,0.5915
25_11_01_20_00_20_15,fullset,BOTH,95,423.5,0,True,1.0000,0.5666,0.4334
25_11_01_22_00_22_15,directional,UP,96,514.0,-1,True,0.4000,0.0038,0.3962
25_11_01_23_00_23_15,directional,DOWN,93,404.7,-1,True,0.7000,0.0114,0.6886
25_11_02_05_00_05_15,directional,DOWN,96,539.1,-1,True,0.4000,0.0038,0.3962
25_11_02_10_00_10_15,fullset,BOTH,93,311.6,0,True,1.4000,0.4022,0.9978
25_11_02_16_00_16_15,fullset,BOTH,95,36.1,0,True,1.0000,0.2923,0.7077
25_11_02_20_00_20_15,fullset,BOTH,95,110.0,0,True,1.0000,0.5855,0.4145
25_11_02_22_00_22_15,fullset,BOTH,92,419.9,0,True,1.6000,0.6456,0.9544
25_11_02_23_00_23_15,fullset,BOTH,94,11.5,0,True,1.2000,0.5937,0.6063
25_11_03_09_00_09_15,directional,UP,93,411.1,-1,True,0.7000,0.0114,0.6886
25_11_03_11_00_11_15,directional,UP,93,318.6,-1,True,0.7000,0.0114,0.6886
25_11_03_12_00_12_15,directional,UP,92,270.2,-1,True,0.8000,0.0147,0.7853
25_11_03_22_00_22_15,directional,DOWN,92,370.9,-1,True,0.8000,0.0147,0.7853
25_11_04_02_00_02_15,directional,DOWN,94,350.4,-1,True,0.6000,0.0085,0.5915
25_11_05_03_00_03_15,fullset,BOTH,95,295.6,0,True,1.0000,0.5091,0.4909
25_11_06_13_00_13_15,directional,UP,92,485.4,-1,True,0.8000,0.0147,0.7853
25_11_07_09_00_09_15,directional,DOWN,93,465.5,-1,True,0.7000,0.0114,0.6886
25_11_07_11_00_11_15,directional,DOWN,92,246.5,-1,True,0.8000,0.0147,0.7853
25_11_08_05_00_05_15,directional,UP,93,438.0,-1,False,-9.3000,0.0114,-9.3114
25_11_08_17_00_17_15,directional,DOWN,96,492.5,-1,True,0.4000,0.0038,0.3962
25_11_09_16_00_16_15,directional,DOWN,93,550.7,-1,True,0.7000,0.0114,0.6886
25_11_09_18_00_18_15,fullset,BOTH,94,565.4,0,True,1.2000,0.6412,0.5588
25_11_09_23_00_23_15,directional,UP,92,104.7,-1,True,0.8000,0.0147,0.7853
25_11_10_05_00_05_15,directional,UP,94,484.6,-1,True,0.6000,0.0085,0.5915
25_11_10_13_00_13_15,directional,UP,92,253.4,-1,True,0.8000,0.0147,0.7853
25_11_13_15_00_15_15,directional,DOWN,92,361.8,-1,False,-9.2000,0.0147,-9.2147
25_11_14_04_00_04_15,directional,DOWN,92,325.3,-1,True,0.8000,0.0147,0.7853
25_11_14_18_00_18_15,fullset,BOTH,94,19.0,0,True,1.2000,0.6527,0.5473
25_11_15_08_00_08_15,directional,DOWN,93,544.6,-1,True,0.7000,0.0114,0.6886
25_11_15_16_00_16_15,directional,DOWN,94,364.7,-1,True,0.6000,0.0085,0.5915
25_11_15_17_00_17_15,directional,DOWN,93,531.0,-1,True,0.7000,0.0114,0.6886
25_11_15_18_00_18_15,fullset,BOTH,94,276.5,0,True,1.2000,0.6495,0.5505
25_11_15_21_00_21_15,directional,UP,92,379.2,-1,True,0.8000,0.0147,0.7853
25_11_16_05_00_05_15,directional,UP,97,484.8,-1,True,0.3000,0.0022,0.2978
25_11_16_09_00_09_15,fullset,BOTH,95,430.3,0,True,1.0000,0.6166,0.3834
25_11_16_21_00_21_15,directional,DOWN,92,306.6,-1,True,0.8000,0.0147,0.7853
25_11_16_23_00_23_15,directional,DOWN,92,117.4,-1,True,0.8000,0.0147,0.7853
25_11_18_03_00_03_15,directional,DOWN,93,299.7,-1,True,0.7000,0.0114,0.6886
