window_id,first_touch_side,entry_price,entry_time,secs_left,winner,won,pnl,persist_90_secs,did_opposite_touch_90_after_entry,opposite_touch_90_time,max_opposite_next60,min_self_next60,max_opposite_ever,min_self_ever
25_10_30_23_45_00_00,UP,92,2939.259,-2039.259,UP,1,0.0800,521.435,0,,10,91,11,91
25_10_31_00_00_00_15,UP,90,603.889,296.111,UP,1,0.1000,29.704,0,,13,89,13,89
25_10_31_00_15_00_30,DOWN,90,1371.276,-471.276,DOWN,1,0.1000,5.576,0,,21,80,21,80
25_10_31_00_30_00_45,UP,90,2475.575,-1575.575,UP,1,0.1000,140.323,0,,13,90,13,90
25_10_31_00_45_01_00,UP,90,2996.357,-2096.357,UP,1,0.1000,0.000,0,,15,87,15,86
25_10_31_01_00_01_15,UP,91,382.669,517.331,UP,1,0.0900,183.419,0,,12,90,12,90
25_10_31_01_15_01_30,UP,90,1580.150,-680.150,UP,1,0.1000,0.000,0,,20,81,22,80
25_10_31_01_30_01_45,DOWN,90,2029.083,-1129.083,DOWN,1,0.1000,78.318,0,,13,90,24,78
25_10_31_01_45_02_00,UP,90,3034.518,-2134.518,UP,1,0.1000,7.552,0,,27,76,75,31
25_10_31_02_00_02_15,DOWN,90,365.975,534.025,DOWN,1,0.1000,52.537,0,,17,84,18,84
25_10_31_02_15_02_30,UP,90,1126.771,-226.771,UP,1,0.1000,0.376,0,,25,78,25,78
25_10_31_02_30_02_45,DOWN,90,2159.395,-1259.395,DOWN,1,0.1000,0.000,0,,17,84,17,84
25_10_31_02_45_03_00,DOWN,90,3042.781,-2142.781,UP,0,-0.9000,0.000,1,3328.134,42,60,99,1
25_10_31_03_00_03_15,DOWN,90,283.646,616.354,UP,0,-0.9000,4.062,1,475.930,26,76,99,2
25_10_31_03_15_03_30,UP,90,1685.337,-785.337,UP,1,0.1000,17.377,0,,64,39,64,39
25_10_31_03_30_03_45,UP,90,2179.646,-1279.646,DOWN,0,-0.9000,5.527,1,2460.648,22,80,99,2
25_10_31_03_45_04_00,UP,90,2795.550,-1895.550,UP,1,0.1000,18.857,0,,14,89,14,89
25_10_31_04_00_04_15,UP,90,559.210,340.790,UP,1,0.1000,128.822,0,,11,90,15,88
25_10_31_04_15_04_30,UP,91,1329.681,-429.681,UP,1,0.0900,170.904,0,,12,91,12,91
25_10_31_04_30_04_45,UP,90,2426.492,-1526.492,UP,1,0.1000,30.361,0,,12,90,12,90
25_10_31_04_45_05_00,UP,90,3479.081,-2579.081,UP,1,0.1000,22.709,0,,15,89,71,83
25_10_31_05_00_05_15,DOWN,90,236.029,663.971,DOWN,1,0.1000,0.358,0,,15,86,28,76
25_10_31_05_15_05_30,UP,90,1684.309,-784.309,UP,1,0.1000,0.347,0,,24,85,24,85
25_10_31_05_45_06_00,DOWN,91,3559.430,-2659.430,UP,0,-0.9100,4.758,0,,89,13,89,13
25_10_31_06_00_06_15,DOWN,90,383.688,516.312,DOWN,1,0.1000,6.813,0,,18,84,18,84
25_10_31_06_15_06_30,DOWN,96,1799.817,-899.817,DOWN,1,0.0400,0.000,0,,22,96,22,96
25_10_31_06_30_06_45,DOWN,90,2468.353,-1568.353,DOWN,1,0.1000,0.737,0,,16,86,16,86
25_10_31_06_45_07_00,UP,90,3393.408,-2493.408,UP,1,0.1000,0.000,0,,15,88,15,88
25_10_31_07_00_07_15,DOWN,90,324.322,575.678,UP,0,-0.9000,7.009,1,863.694,17,85,99,2
25_10_31_07_15_07_30,DOWN,90,1575.052,-675.052,DOWN,1,0.1000,19.731,0,,14,87,14,87
25_10_31_07_30_07_45,DOWN,90,2276.820,-1376.820,DOWN,1,0.1000,85.857,0,,12,90,12,89
25_10_31_07_45_08_00,DOWN,90,3051.591,-2151.591,DOWN,1,0.1000,0.000,0,,14,88,74,46
25_10_31_08_00_08_15,UP,90,265.298,634.702,DOWN,0,-0.9000,136.496,1,780.655,12,90,99,1
25_10_31_08_15_08_30,UP,90,1189.521,-289.521,UP,1,0.1000,101.893,0,,13,90,19,83
25_10_31_08_30_08_45,DOWN,90,2530.473,-1630.473,DOWN,1,0.1000,8.298,1,2639.906,46,61,94,25
25_10_31_08_45_09_00,UP,90,2990.187,-2090.187,UP,1,0.1000,0.000,0,,18,83,22,80
