window_id,leg1_side,leg1_price,leg1_time,leg2_side,leg2_price,leg2_time,dt_between_legs,pair_cost,edge_cents,completed_via_chase,settled_pnl
25_10_31_01_00_01_15,DOWN,55,25.555,UP,41,38.541,12.986,96,4,True,0.04
25_10_31_04_00_04_15,DOWN,59,135.664,UP,40,163.349,27.685,99,1,True,0.01
25_10_31_05_00_05_15,DOWN,59,7.44,UP,35,13.312,5.872,94,6,True,0.06
25_10_31_06_00_06_15,DOWN,44,34.87,UP,56,44.846,9.976,100,0,True,0.0
25_10_31_06_00_06_15,DOWN,35,150.762,UP,60,156.419,5.657,95,5,True,0.05
25_10_31_07_00_07_15,UP,65,52.88,DOWN,36,66.142,13.262,101,-1,True,-0.01
25_10_31_08_00_08_15,UP,53,2.775,DOWN,45,8.272,5.497,98,2,True,0.02
25_10_31_08_00_08_15,UP,65,211.764,DOWN,32,218.801,7.037,97,3,True,0.03
25_10_31_08_00_08_15,DOWN,14,510.876,UP,82,518.038,7.162,96,4,True,0.04
25_10_31_08_00_08_15,DOWN,25,627.571,UP,72,647.279,19.708,97,3,True,0.03
25_10_31_08_00_08_15,UP,35,692.063,DOWN,67,692.804,0.741,102,-2,True,-0.02
25_10_31_08_00_08_15,DOWN,70,739.094,UP,27,763.308,24.214,97,3,True,0.03
25_10_31_09_00_09_15,DOWN,44,399.384,UP,54,414.03,14.646,98,2,True,0.02
25_10_31_09_00_09_15,UP,81,632.342,DOWN,15,640.072,7.73,96,4,True,0.04
25_10_31_10_00_10_15,UP,63,72.875,DOWN,39,98.782,25.907,102,-2,True,-0.02
25_10_31_10_00_10_15,UP,59,123.877,DOWN,39,152.807,28.93,98,2,True,0.02
25_10_31_10_00_10_15,UP,57,336.004,DOWN,43,350.97,14.966,100,0,True,0.0
25_10_31_10_00_10_15,DOWN,64,482.605,UP,38,507.114,24.509,102,-2,True,-0.02
25_10_31_10_00_10_15,DOWN,67,662.481,UP,32,687.32,24.839,99,1,True,0.01
25_10_31_11_00_11_15,DOWN,50,124.331,UP,47,134.729,10.398,97,3,True,0.03
25_10_31_12_00_12_15,DOWN,48,157.748,UP,52,170.375,12.627,100,0,True,0.0
25_10_31_12_00_12_15,DOWN,70,458.952,UP,29,474.87,15.918,99,1,True,0.01
