window_id,side,buy_price,buy_time,sell_price,sell_time,pnl_cents
25_10_31_01_00_01_15,DOWN,28,266.211,19,296.235,-9
25_10_31_04_00_04_15,DOWN,63,218.511,54,251.089,-9
25_10_31_04_00_04_15,DOWN,28,414.941,18,449.193,-10
25_10_31_05_00_05_15,UP,29,63.996,17,94.66,-12
25_10_31_06_00_06_15,UP,48,264.505,37,294.903,-11
25_10_31_06_00_06_15,UP,6,490.322,2,528.221,-4
25_10_31_07_00_07_15,UP,48,211.033,27,244.718,-21
25_10_31_07_00_07_15,UP,23,290.121,11,320.176,-12
25_10_31_08_00_08_15,DOWN,43,83.272,40,113.956,-3
25_10_31_08_00_08_15,UP,59,661.15,33,691.31,-26
25_10_31_09_00_09_15,DOWN,40,76.066,23,111.89,-17
25_10_31_09_00_09_15,UP,52,296.285,48,326.314,-4
25_10_31_09_00_09_15,DOWN,11,835.677,2,865.879,-9
25_10_31_10_00_10_15,DOWN,51,6.556,37,36.569,-14
25_10_31_10_00_10_15,UP,18,818.123,1,849.34,-17
25_10_31_11_00_11_15,UP,19,335.723,12,367.875,-7
25_10_31_12_00_12_15,DOWN,33,210.823,19,241.105,-14
25_10_31_14_00_14_15,UP,42,78.44,38,111.637,-4
25_10_31_14_00_14_15,DOWN,30,582.728,16,612.763,-14
25_10_31_14_00_14_15,DOWN,15,616.731,2,646.994,-13
25_10_31_14_00_14_15,UP,91,670.872,74,700.898,-17
25_10_31_14_00_14_15,UP,56,744.932,34,774.982,-22
25_10_31_14_00_14_15,UP,29,830.562,1,857.749,-28
25_10_31_15_00_15_15,DOWN,85,477.769,37,507.976,-48
25_10_31_15_00_15_15,DOWN,34,548.212,4,578.321,-30
25_10_31_15_00_15_15,UP,47,784.856,19,815.071,-28
25_10_31_15_00_15_15,DOWN,91,859.409,66,889.705,-25
25_10_31_15_00_15_15,UP,10,897.335,0,899.423,-10
25_10_31_16_00_16_15,UP,44,14.01,38,44.081,-6
25_10_31_16_00_16_15,DOWN,57,55.484,51,85.686,-6
25_10_31_16_00_16_15,UP,20,542.878,11,572.898,-9
25_10_31_16_00_16_15,DOWN,80,614.905,53,646.237,-27
25_10_31_16_00_16_15,UP,48,652.316,21,682.522,-27
25_10_31_17_00_17_15,UP,38,22.278,29,54.957,-9
25_10_31_18_00_18_15,DOWN,50,7.399,37,38.26,-13
25_10_31_18_00_18_15,UP,80,548.519,77,580.038,-3
25_10_31_18_00_18_15,DOWN,28,768.975,10,800.809,-18
25_10_31_20_00_20_15,UP,57,2.131,34,33.133,-23
25_10_31_20_00_20_15,DOWN,77,485.108,69,517.548,-8
25_10_31_21_00_21_15,DOWN,23,520.365,12,559.592,-11
25_10_31_21_00_21_15,DOWN,17,771.955,16,807.756,-1
25_10_31_21_00_21_15,UP,73,840.695,1,865.582,-72
25_10_31_23_00_23_15,DOWN,43,289.844,38,329.826,-5
25_10_31_23_00_23_15,DOWN,59,434.075,49,464.444,-10
25_10_31_23_00_23_15,DOWN,48,547.315,42,578.348,-6
25_10_31_23_00_23_15,UP,61,810.843,5,841.249,-56
25_11_01_00_00_00_15,UP,50,88.308,25,119.706,-25
25_11_01_01_00_01_15,DOWN,27,106.699,11,138.754,-16
25_11_01_02_00_02_15,UP,57,131.43,26,161.936,-31
25_11_01_02_00_02_15,DOWN,77,242.372,72,273.534,-5
25_11_01_03_00_03_15,DOWN,56,8.782,42,39.19,-14
25_11_01_04_00_04_15,DOWN,47,62.273,32,92.415,-15
25_11_01_04_00_04_15,DOWN,36,173.379,24,204.252,-12
25_11_01_04_00_04_15,DOWN,15,724.34,5,754.663,-10
25_11_01_04_00_04_15,DOWN,13,810.166,4,841.623,-9
25_11_01_04_00_04_15,DOWN,5,844.986,0,867.121,-5
25_11_01_05_00_05_15,UP,10,333.171,6,363.252,-4
25_11_01_06_00_06_15,UP,18,498.236,2,543.947,-16
25_11_01_07_00_07_15,UP,57,160.603,46,190.791,-11
25_11_01_07_00_07_15,DOWN,5,504.636,5,548.73,0
25_11_01_08_00_08_15,DOWN,27,46.46,16,76.635,-11
25_11_01_08_00_08_15,UP,78,177.759,74,217.126,-4
25_11_01_08_00_08_15,UP,85,482.753,78,512.868,-7
25_11_01_09_00_09_15,UP,22,70.066,17,100.387,-5
25_11_01_09_00_09_15,UP,9,539.302,9,569.443,0
25_11_01_09_00_09_15,DOWN,92,681.091,70,711.168,-22
25_11_01_10_00_10_15,UP,72,349.947,56,382.637,-16
25_11_01_10_00_10_15,UP,11,683.166,1,714.751,-10
25_11_01_11_00_11_15,DOWN,46,13.067,34,45.359,-12
25_11_01_11_00_11_15,UP,65,226.547,54,256.584,-11
25_11_01_11_00_11_15,DOWN,25,363.651,11,404.026,-14
25_11_01_12_00_12_15,UP,54,27.147,49,57.285,-5
25_11_01_12_00_12_15,DOWN,33,353.22,20,387.299,-13
25_11_01_12_00_12_15,UP,82,652.203,78,683.025,-4
25_11_01_12_00_12_15,UP,83,784.677,19,817.44,-64
25_11_01_14_00_14_15,DOWN,36,11.161,32,41.231,-4
25_11_01_14_00_14_15,DOWN,39,246.185,30,276.561,-9
25_11_01_14_00_14_15,UP,32,552.654,17,583.094,-15
25_11_01_15_00_15_15,DOWN,52,39.167,50,69.494,-2
