d_cents,chase_timeout_secs,max_pair_cost_cents,fill_model,total_pairs,profitable_pairs,profit_rate,chase_completed,total_unwinds,avg_pair_cost,avg_edge_cents,gross_edge_cents,unwind_loss_cents,net_pnl_cents,l1_distance,overlap_pct
2,10.0,98,maker_at_bid,4080,3882,0.9515,4080,11581,97.57,2.43,9906,-90296,-80390,1.5851,20.74
2,10.0,100,maker_at_bid,4868,3917,0.8046,4868,10863,98.12,1.88,9165,-89183,-80018,1.5466,22.67
2,10.0,102,maker_at_bid,5058,3918,0.7746,5058,10684,98.3,1.7,8597,-88569,-79972,1.4917,25.41
2,10.0,104,maker_at_bid,5083,3921,0.7714,5083,10663,98.33,1.67,8487,-88448,-79961,1.4843,25.79
2,15.0,98,maker_at_bid,4877,4698,0.9633,4877,9505,97.67,2.33,11347,-86591,-75244,1.6343,18.28
2,15.0,100,maker_at_bid,6084,4200,0.6903,6084,8468,98.48,1.52,9251,-84542,-75291,1.5788,21.06
2,15.0,102,maker_at_bid,6637,4223,0.6363,6637,7964,98.85,1.15,7631,-82737,-75106,1.4368,28.16
2,15.0,104,maker_at_bid,6747,4230,0.6269,6747,7864,98.94,1.06,7141,-82178,-75037,1.4105,29.48
2,20.0,98,maker_at_bid,5264,5087,0.9664,5264,8207,97.73,2.27,11960,-83818,-71858,1.6493,17.54
2,20.0,100,maker_at_bid,6641,4074,0.6135,6641,7086,98.67,1.33,8829,-80706,-71877,1.5885,20.58
2,20.0,102,maker_at_bid,7515,4108,0.5466,7515,6318,99.24,0.76,5722,-77749,-72027,1.2962,35.19
2,20.0,104,maker_at_bid,7874,4115,0.5226,7874,5990,99.49,0.51,3977,-75891,-71914,1.2677,36.61
2,30.0,98,maker_at_bid,5684,5512,0.9697,5684,6454,97.79,2.21,12571,-77825,-65254,1.6691,16.54
2,30.0,100,maker_at_bid,7082,3781,0.5339,7082,5469,98.86,1.14,8086,-74532,-66446,1.5985,20.07
2,30.0,102,maker_at_bid,8112,3863,0.4762,8112,4690,99.58,0.42,3376,-70462,-67086,1.2677,36.61
2,30.0,104,maker_at_bid,8801,3884,0.4413,8801,4110,100.08,-0.08,-690,-66557,-67247,1.2362,38.19
3,10.0,98,maker_at_bid,1646,1574,0.9563,1646,6144,96.41,3.59,5910,-52885,-46975,1.5509,22.45
3,10.0,100,maker_at_bid,1739,1554,0.8936,1739,6056,96.68,3.32,5765,-52691,-46926,1.4774,26.13
3,10.0,102,maker_at_bid,1768,1555,0.8795,1768,6030,96.8,3.2,5662,-52551,-46889,1.4287,28.57
