window_id,leg1_side,leg1_price,leg1_time,leg2_side,leg2_price,leg2_time,dt_between_legs,pair_cost,edge_cents,completed_via_chase,settled_pnl
25_10_31_01_00_01_15,UP,45,8.698,DOWN,54,25.555,16.857,99,1,True,0.01
25_10_31_01_00_01_15,UP,39,73.458,DOWN,61,86.484,13.026,100,0,True,0.0
25_10_31_02_00_02_15,DOWN,49,100.147,UP,49,118.918,18.771,98,2,True,0.02
25_10_31_02_00_02_15,DOWN,70,232.858,UP,29,242.479,9.621,99,1,True,0.01
25_10_31_03_00_03_15,UP,25,201.399,DOWN,73,208.906,7.507,98,2,True,0.02
25_10_31_03_00_03_15,DOWN,88,288.812,UP,13,303.871,15.059,101,-1,True,-0.01
25_10_31_03_00_03_15,UP,83,501.458,DOWN,16,511.538,10.08,99,1,True,0.01
25_10_31_03_00_03_15,UP,85,555.196,DOWN,15,561.551,6.355,100,0,True,0.0
25_10_31_04_00_04_15,DOWN,45,8.47,UP,53,22.255,13.785,98,2,True,0.02
25_10_31_04_00_04_15,DOWN,58,135.664,UP,40,163.349,27.685,98,2,True,0.02
25_10_31_04_00_04_15,UP,79,480.838,DOWN,20,490.493,9.655,99,1,True,0.01
25_10_31_05_00_05_15,DOWN,59,7.44,UP,34,13.312,5.872,93,7,True,0.07
25_10_31_05_00_05_15,UP,15,131.912,DOWN,85,144.433,12.521,100,0,True,0.0
25_10_31_05_00_05_15,DOWN,86,242.302,UP,13,263.227,20.925,99,1,True,0.01
25_10_31_05_00_05_15,DOWN,78,465.841,UP,21,483.947,18.106,99,1,True,0.01
25_10_31_05_00_05_15,DOWN,77,492.272,UP,22,508.11,15.838,99,1,True,0.01
25_10_31_05_00_05_15,UP,11,569.992,DOWN,88,574.663,4.671,99,1,True,0.01
25_10_31_05_00_05_15,DOWN,79,689.726,UP,19,710.527,20.801,98,2,True,0.02
25_10_31_06_00_06_15,DOWN,39,9.538,UP,60,25.716,16.178,99,1,True,0.01
25_10_31_06_00_06_15,DOWN,42,34.87,UP,56,44.44,9.57,98,2,True,0.02
25_10_31_06_00_06_15,DOWN,35,150.762,UP,59,156.419,5.657,94,6,True,0.06
25_10_31_06_00_06_15,DOWN,32,247.854,UP,64,249.544,1.69,96,4,True,0.04
25_10_31_06_00_06_15,UP,34,295.673,DOWN,66,305.995,10.322,100,0,True,0.0
25_10_31_06_00_06_15,DOWN,66,307.722,UP,35,319.09,11.368,101,-1,True,-0.01
25_10_31_06_00_06_15,UP,17,350.032,DOWN,83,356.768,6.736,100,0,True,0.0
25_10_31_07_00_07_15,DOWN,36,31.082,UP,64,52.88,21.798,100,0,True,0.0
25_10_31_07_00_07_15,UP,63,67.654,DOWN,36,71.111,3.457,99,1,True,0.01
25_10_31_07_00_07_15,UP,60,95.074,DOWN,38,113.218,18.144,98,2,True,0.02
25_10_31_08_00_08_15,UP,53,2.775,DOWN,45,8.272,5.497,98,2,True,0.02
25_10_31_08_00_08_15,DOWN,46,78.321,UP,55,94.615,16.294,101,-1,True,-0.01
25_10_31_08_00_08_15,UP,64,211.764,DOWN,29,218.801,7.037,93,7,True,0.07
25_10_31_08_00_08_15,UP,80,258.497,DOWN,17,264.553,6.056,97,3,True,0.03
25_10_31_08_00_08_15,DOWN,22,501.735,UP,80,518.32,16.585,102,-2,True,-0.02
25_10_31_08_00_08_15,UP,78,573.177,DOWN,23,582.074,8.897,101,-1,True,-0.01
25_10_31_08_00_08_15,DOWN,29,621.79,UP,68,622.936,1.146,97,3,True,0.03
25_10_31_08_00_08_15,DOWN,29,623.656,UP,71,647.279,23.623,100,0,True,0.0
25_10_31_08_00_08_15,UP,30,692.063,DOWN,66,692.804,0.741,96,4,True,0.04
25_10_31_08_00_08_15,DOWN,95,814.24,UP,2,825.146,10.906,97,3,True,0.03
25_10_31_09_00_09_15,UP,49,25.064,DOWN,50,30.299,5.235,99,1,True,0.01
25_10_31_09_00_09_15,DOWN,44,399.384,UP,53,407.995,8.611,97,3,True,0.03
25_10_31_09_00_09_15,DOWN,47,481.513,UP,50,492.53,11.017,97,3,True,0.03
25_10_31_09_00_09_15,UP,79,632.342,DOWN,15,640.072,7.73,94,6,True,0.06
25_10_31_10_00_10_15,UP,65,52.669,DOWN,33,63.064,10.395,98,2,True,0.02
25_10_31_10_00_10_15,UP,62,72.875,DOWN,39,98.08,25.205,101,-1,True,-0.01
25_10_31_10_00_10_15,UP,58,123.877,DOWN,40,151.47,27.593,98,2,True,0.02
25_10_31_10_00_10_15,UP,55,336.004,DOWN,43,348.933,12.929,98,2,True,0.02
25_10_31_10_00_10_15,DOWN,63,482.605,UP,40,506.625,24.02,103,-3,True,-0.03
25_10_31_10_00_10_15,DOWN,65,662.481,UP,33,686.18,23.699,98,2,True,0.02
25_10_31_11_00_11_15,DOWN,50,124.331,UP,48,134.044,9.713,98,2,True,0.02
25_10_31_11_00_11_15,UP,37,153.2,DOWN,67,181.669,28.469,104,-4,True,-0.04
25_10_31_11_00_11_15,UP,25,205.59,DOWN,75,222.229,16.639,100,0,True,0.0
25_10_31_11_00_11_15,DOWN,70,276.406,UP,27,286.184,9.778,97,3,True,0.03
25_10_31_12_00_12_15,UP,39,14.114,DOWN,60,25.813,11.699,99,1,True,0.01
25_10_31_12_00_12_15,UP,34,127.847,DOWN,66,141.974,14.127,100,0,True,0.0
25_10_31_12_00_12_15,DOWN,45,356.507,UP,52,360.322,3.815,97,3,True,0.03
25_10_31_12_00_12_15,DOWN,71,508.488,UP,30,524.55,16.062,101,-1,True,-0.01
25_10_31_12_00_12_15,UP,21,586.08,DOWN,79,610.013,23.933,100,0,True,0.0
25_10_31_12_00_12_15,DOWN,84,645.801,UP,14,651.949,6.148,98,2,True,0.02
25_10_31_13_00_13_15,UP,52,43.799,DOWN,47,51.579,7.78,99,1,True,0.01
25_10_31_13_00_13_15,UP,54,63.51,DOWN,44,70.747,7.237,98,2,True,0.02
25_10_31_13_00_13_15,DOWN,34,110.132,UP,63,128.744,18.612,97,3,True,0.03
25_10_31_13_00_13_15,DOWN,35,129.084,UP,64,145.457,16.373,99,1,True,0.01
25_10_31_13_00_13_15,UP,77,394.795,DOWN,23,414.926,20.131,100,0,True,0.0
25_10_31_13_00_13_15,UP,82,545.968,DOWN,14,559.052,13.084,96,4,True,0.04
25_10_31_14_00_14_15,UP,42,78.44,DOWN,62,107.852,29.412,104,-4,True,-0.04
25_10_31_14_00_14_15,DOWN,61,184.518,UP,35,193.925,9.407,96,4,True,0.04
25_10_31_14_00_14_15,DOWN,59,202.936,UP,38,206.398,3.462,97,3,True,0.03
25_10_31_14_00_14_15,DOWN,51,244.581,UP,50,258.016,13.435,101,-1,True,-0.01
25_10_31_14_00_14_15,UP,26,302.808,DOWN,70,305.438,2.63,96,4,True,0.04
25_10_31_14_00_14_15,UP,52,366.488,DOWN,48,377.667,11.179,100,0,True,0.0
25_10_31_14_00_14_15,DOWN,37,382.955,UP,63,396.19,13.235,100,0,True,0.0
25_10_31_14_00_14_15,DOWN,37,414.135,UP,60,423.626,9.491,97,3,True,0.03
25_10_31_14_00_14_15,DOWN,28,484.097,UP,70,496.583,12.486,98,2,True,0.02
25_10_31_14_00_14_15,DOWN,22,528.266,UP,74,531.178,2.912,96,4,True,0.04
25_10_31_14_00_14_15,UP,75,542.589,DOWN,21,549.906,7.317,96,4,True,0.04
25_10_31_14_00_14_15,DOWN,15,550.273,UP,80,552.831,2.558,95,5,True,0.05
25_10_31_14_00_14_15,UP,78,555.035,DOWN,26,583.073,28.038,104,-4,True,-0.04
25_10_31_14_00_14_15,DOWN,3,649.848,UP,95,659.197,9.349,98,2,True,0.02
25_10_31_14_00_14_15,DOWN,43,740.402,UP,51,747.001,6.599,94,6,True,0.06
25_10_31_14_00_14_15,UP,53,750.668,DOWN,50,770.333,19.665,103,-3,True,-0.03
