window_id,side,buy_price,buy_time,sell_price,sell_time,pnl_cents
25_10_31_01_00_01_15,DOWN,52,199.639,40,230.227,-12
25_10_31_01_00_01_15,DOWN,32,257.729,20,295.548,-12
25_10_31_01_00_01_15,DOWN,13,373.429,4,405.051,-9
25_10_31_02_00_02_15,UP,17,357.107,5,388.811,-12
25_10_31_03_00_03_15,DOWN,86,311.303,74,341.796,-12
25_10_31_03_00_03_15,DOWN,69,349.569,54,380.115,-15
25_10_31_03_00_03_15,DOWN,49,424.787,31,454.848,-18
25_10_31_03_00_03_15,DOWN,22,463.554,13,493.585,-9
25_10_31_04_00_04_15,UP,35,182.441,31,216.345,-4
25_10_31_04_00_04_15,DOWN,63,218.511,54,251.089,-9
25_10_31_04_00_04_15,DOWN,49,277.327,30,307.696,-19
25_10_31_04_00_04_15,DOWN,28,414.941,18,449.193,-10
25_10_31_04_00_04_15,DOWN,11,559.375,1,589.905,-10
25_10_31_05_00_05_15,UP,29,63.996,17,94.66,-12
25_10_31_05_00_05_15,UP,15,714.938,1,753.327,-14
25_10_31_06_00_06_15,DOWN,52,107.083,41,139.932,-11
25_10_31_06_00_06_15,DOWN,40,160.913,33,198.513,-7
25_10_31_06_00_06_15,UP,57,260.865,37,292.232,-20
25_10_31_06_00_06_15,UP,6,490.322,2,528.221,-4
25_10_31_07_00_07_15,UP,47,211.033,27,244.718,-20
25_10_31_07_00_07_15,UP,22,290.121,11,320.176,-11
25_10_31_07_00_07_15,UP,14,342.38,9,377.767,-5
25_10_31_08_00_08_15,UP,47,661.15,33,691.31,-14
25_10_31_08_00_08_15,UP,27,732.892,25,763.197,-2
25_10_31_09_00_09_15,DOWN,38,76.066,23,111.89,-15
25_10_31_09_00_09_15,UP,69,291.61,42,322.258,-27
25_10_31_09_00_09_15,UP,87,764.117,80,794.868,-7
25_10_31_09_00_09_15,DOWN,11,835.677,2,865.879,-9
25_10_31_10_00_10_15,DOWN,47,6.556,37,36.569,-10
25_10_31_10_00_10_15,UP,50,410.769,32,443.832,-18
25_10_31_10_00_10_15,UP,36,507.114,19,537.215,-17
25_10_31_10_00_10_15,DOWN,78,542.137,75,572.306,-3
25_10_31_10_00_10_15,UP,27,727.165,17,758.114,-10
25_10_31_10_00_10_15,UP,17,818.123,1,849.34,-16
25_10_31_11_00_11_15,UP,18,335.723,12,367.875,-6
25_10_31_12_00_12_15,DOWN,58,150.212,44,180.396,-14
25_10_31_12_00_12_15,DOWN,30,210.823,19,241.105,-11
25_10_31_12_00_12_15,DOWN,76,452.71,70,482.8,-6
25_10_31_14_00_14_15,DOWN,15,616.731,2,646.994,-13
25_10_31_14_00_14_15,UP,90,670.872,74,700.898,-16
25_10_31_14_00_14_15,UP,76,704.221,53,734.381,-23
25_10_31_14_00_14_15,UP,29,830.562,1,857.749,-28
25_10_31_15_00_15_15,DOWN,90,470.199,51,500.449,-39
25_10_31_15_00_15_15,DOWN,46,505.558,28,535.829,-18
25_10_31_15_00_15_15,DOWN,28,548.212,4,578.321,-24
25_10_31_15_00_15_15,UP,74,706.651,52,736.822,-22
25_10_31_15_00_15_15,DOWN,44,738.318,34,768.733,-10
25_10_31_15_00_15_15,UP,56,778.302,27,808.378,-29
25_10_31_15_00_15_15,DOWN,91,859.409,66,889.705,-25
25_10_31_15_00_15_15,UP,5,897.335,0,899.423,-5
25_10_31_16_00_16_15,UP,44,14.01,38,44.081,-6
25_10_31_16_00_16_15,DOWN,57,55.484,51,85.686,-6
25_10_31_16_00_16_15,UP,53,481.459,27,511.508,-26
25_10_31_16_00_16_15,DOWN,87,604.82,69,635.165,-18
25_10_31_16_00_16_15,UP,43,652.316,21,682.522,-22
25_10_31_16_00_16_15,UP,16,690.879,6,721.683,-10
25_10_31_17_00_17_15,UP,37,22.278,29,54.957,-8
25_10_31_18_00_18_15,DOWN,48,7.399,37,38.26,-11
25_10_31_18_00_18_15,DOWN,41,73.154,35,103.394,-6
25_10_31_18_00_18_15,UP,80,548.519,77,580.038,-3
25_10_31_18_00_18_15,UP,83,744.825,77,776.923,-6
25_10_31_19_00_19_15,UP,43,19.292,31,49.319,-12
25_10_31_20_00_20_15,UP,52,2.131,34,33.133,-18
25_10_31_20_00_20_15,UP,22,406.261,12,446.5,-10
25_10_31_20_00_20_15,DOWN,74,485.108,69,517.548,-5
25_10_31_20_00_20_15,DOWN,76,711.958,73,742.191,-3
25_10_31_20_00_20_15,UP,32,771.844,19,802.871,-13
25_10_31_20_00_20_15,UP,4,832.484,3,836.703,-1
25_10_31_21_00_21_15,UP,75,304.896,63,336.647,-12
25_10_31_21_00_21_15,DOWN,26,362.039,24,392.166,-2
25_10_31_21_00_21_15,DOWN,23,520.365,12,559.592,-11
