window_id,leg1_side,leg1_price,leg1_time,leg2_side,leg2_price,leg2_time,dt_between_legs,pair_cost,edge_cents,completed_via_chase,settled_pnl
25_10_31_01_00_01_15,DOWN,55,25.555,UP,41,38.541,12.986,96,4,True,0.04
25_10_31_05_00_05_15,DOWN,59,7.44,UP,35,13.312,5.872,94,6,True,0.06
25_10_31_06_00_06_15,DOWN,44,34.87,UP,54,44.846,9.976,98,2,True,0.02
25_10_31_06_00_06_15,DOWN,35,150.762,UP,60,156.419,5.657,95,5,True,0.05
25_10_31_07_00_07_15,DOWN,64,230.883,UP,34,233.868,2.985,98,2,True,0.02
25_10_31_08_00_08_15,UP,53,2.775,DOWN,45,8.272,5.497,98,2,True,0.02
25_10_31_08_00_08_15,UP,65,211.764,DOWN,32,218.801,7.037,97,3,True,0.03
25_10_31_08_00_08_15,DOWN,14,510.876,UP,82,518.038,7.162,96,4,True,0.04
25_10_31_08_00_08_15,UP,26,684.172,DOWN,70,690.236,6.064,96,4,True,0.04
25_10_31_08_00_08_15,UP,35,692.063,DOWN,67,692.804,0.741,102,-2,True,-0.02
25_10_31_09_00_09_15,DOWN,44,399.384,UP,54,414.03,14.646,98,2,True,0.02
25_10_31_09_00_09_15,UP,81,632.342,DOWN,15,640.072,7.73,96,4,True,0.04
25_10_31_10_00_10_15,UP,57,336.004,DOWN,41,351.313,15.309,98,2,True,0.02
25_10_31_11_00_11_15,DOWN,50,124.331,UP,47,134.729,10.398,97,3,True,0.03
25_10_31_13_00_13_15,UP,84,545.968,DOWN,14,559.469,13.501,98,2,True,0.02
25_10_31_14_00_14_15,DOWN,37,382.955,UP,61,396.561,13.606,98,2,True,0.02
25_10_31_14_00_14_15,DOWN,37,414.135,UP,60,423.982,9.847,97,3,True,0.03
25_10_31_14_00_14_15,UP,75,531.178,DOWN,23,534.097,2.919,98,2,True,0.02
25_10_31_14_00_14_15,UP,75,542.589,DOWN,22,549.906,7.317,97,3,True,0.03
25_10_31_14_00_14_15,DOWN,37,723.938,UP,61,733.34,9.402,98,2,True,0.02
25_10_31_14_00_14_15,DOWN,59,760.515,UP,36,767.254,6.739,95,5,True,0.05
25_10_31_14_00_14_15,DOWN,59,770.088,UP,34,778.214,8.126,93,7,True,0.07
25_10_31_14_00_14_15,DOWN,64,808.794,UP,30,812.128,3.334,94,6,True,0.06
25_10_31_14_00_14_15,UP,28,814.229,DOWN,70,819.395,5.166,98,2,True,0.02
25_10_31_14_00_14_15,DOWN,64,823.719,UP,30,827.845,4.126,94,6,True,0.06
25_10_31_15_00_15_15,DOWN,51,5.61,UP,47,18.861,13.251,98,2,True,0.02
25_10_31_15_00_15_15,UP,8,426.374,DOWN,90,435.599,9.225,98,2,True,0.02
25_10_31_15_00_15_15,UP,67,534.423,DOWN,31,548.212,13.789,98,2,True,0.02
25_10_31_15_00_15_15,UP,79,556.571,DOWN,19,570.186,13.615,98,2,True,0.02
25_10_31_15_00_15_15,UP,24,849.381,DOWN,74,860.796,11.415,98,2,True,0.02
25_10_31_15_00_15_15,DOWN,76,862.184,UP,18,869.351,7.167,94,6,True,0.06
25_10_31_18_00_18_15,DOWN,37,28.698,UP,60,38.714,10.016,97,3,True,0.03
25_11_01_00_00_00_15,DOWN,33,77.054,UP,62,86.213,9.159,95,5,True,0.05
25_11_01_01_00_01_15,UP,82,785.896,DOWN,16,799.952,14.056,98,2,True,0.02
25_11_01_01_00_01_15,UP,86,814.734,DOWN,10,822.325,7.591,96,4,True,0.04
25_11_01_03_00_03_15,UP,52,145.198,DOWN,46,163.119,17.921,98,2,True,0.02
25_11_01_04_00_04_15,DOWN,39,145.142,UP,56,149.08,3.938,95,5,True,0.05
25_11_01_04_00_04_15,UP,91,432.062,DOWN,7,442.686,10.624,98,2,True,0.02
25_11_01_04_00_04_15,UP,76,636.617,DOWN,22,642.064,5.447,98,2,True,0.02
25_11_01_04_00_04_15,UP,85,667.746,DOWN,13,670.763,3.017,98,2,True,0.02
25_11_01_04_00_04_15,DOWN,11,794.039,UP,84,797.62,3.581,95,5,True,0.05
25_11_01_06_00_06_15,UP,49,126.187,DOWN,45,137.433,11.246,94,6,True,0.06
25_11_01_09_00_09_15,DOWN,88,767.796,UP,8,774.523,6.727,96,4,True,0.04
25_11_01_10_00_10_15,UP,62,1.156,DOWN,41,3.909,2.753,103,-3,True,-0.03
25_11_01_10_00_10_15,DOWN,66,603.698,UP,27,608.998,5.3,93,7,True,0.07
25_11_01_10_00_10_15,UP,16,657.127,DOWN,80,665.645,8.518,96,4,True,0.04
25_11_01_12_00_12_15,UP,54,293.816,DOWN,44,307.92,14.104,98,2,True,0.02
25_11_01_12_00_12_15,UP,78,749.221,DOWN,19,761.346,12.125,97,3,True,0.03
25_11_01_12_00_12_15,DOWN,71,805.188,UP,24,806.523,1.335,95,5,True,0.05
25_11_01_12_00_12_15,UP,10,823.734,DOWN,83,826.528,2.794,93,7,True,0.07
25_11_01_12_00_12_15,UP,11,828.953,DOWN,87,831.264,2.311,98,2,True,0.02
25_11_01_12_00_12_15,UP,7,844.26,DOWN,94,847.009,2.749,101,-1,True,-0.01
25_11_01_12_00_12_15,DOWN,89,847.695,UP,9,858.496,10.801,98,2,True,0.02
25_11_01_13_00_13_15,DOWN,64,272.488,UP,31,278.489,6.001,95,5,True,0.05
25_11_01_13_00_13_15,UP,33,300.093,DOWN,66,303.022,2.929,99,1,True,0.01
25_11_01_14_00_14_15,UP,48,3.804,DOWN,43,9.745,5.941,91,9,True,0.09
25_11_01_14_00_14_15,DOWN,38,410.474,UP,59,425.064,14.59,97,3,True,0.03
25_11_01_15_00_15_15,DOWN,38,79.096,UP,56,85.725,6.629,94,6,True,0.06
25_11_01_15_00_15_15,UP,39,100.002,DOWN,58,112.114,12.112,97,3,True,0.03
25_11_01_16_00_16_15,UP,82,777.814,DOWN,16,791.955,14.141,98,2,True,0.02
25_11_01_17_00_17_15,UP,39,2.669,DOWN,54,4.59,1.921,93,7,True,0.07
25_11_01_17_00_17_15,DOWN,45,6.3,UP,53,19.235,12.935,98,2,True,0.02
25_11_01_17_00_17_15,DOWN,72,251.409,UP,24,264.202,12.793,96,4,True,0.04
25_11_01_18_00_18_15,DOWN,14,533.733,UP,82,541.367,7.634,96,4,True,0.04
25_11_01_20_00_20_15,DOWN,53,0.69,UP,42,7.117,6.427,95,5,True,0.05
25_11_01_20_00_20_15,UP,76,623.84,DOWN,21,638.729,14.889,97,3,True,0.03
25_11_01_22_00_22_15,UP,61,16.851,DOWN,34,20.27,3.419,95,5,True,0.05
25_11_01_22_00_22_15,UP,75,288.065,DOWN,23,300.985,12.92,98,2,True,0.02
25_11_01_22_00_22_15,UP,87,451.123,DOWN,10,458.956,7.833,97,3,True,0.03
25_11_01_23_00_23_15,UP,17,553.351,DOWN,81,560.023,6.672,98,2,True,0.02
25_11_02_00_00_00_15,DOWN,58,495.552,UP,36,500.648,5.096,94,6,True,0.06
25_11_02_00_00_00_15,DOWN,87,585.441,UP,10,593.634,8.193,97,3,True,0.03
25_11_02_01_00_01_15,UP,15,611.836,DOWN,81,620.082,8.246,96,4,True,0.04
25_11_02_02_00_02_15,UP,32,103.386,DOWN,65,110.02,6.634,97,3,True,0.03
25_11_02_02_00_02_15,UP,31,163.016,DOWN,65,167.901,4.885,96,4,True,0.04
25_11_02_02_00_02_15,UP,59,787.628,DOWN,42,792.739,5.111,101,-1,True,-0.01
25_11_02_02_00_02_15,UP,66,793.72,DOWN,27,794.337,0.617,93,7,True,0.07
25_11_02_02_00_02_15,UP,78,795.694,DOWN,20,798.104,2.41,98,2,True,0.02
25_11_02_03_00_03_15,UP,30,753.646,DOWN,67,755.598,1.952,97,3,True,0.03
25_11_02_03_00_03_15,DOWN,63,756.25,UP,32,760.503,4.253,95,5,True,0.05
25_11_02_03_00_03_15,UP,74,790.079,DOWN,26,791.073,0.994,100,0,True,0.0
25_11_02_03_00_03_15,UP,61,813.959,DOWN,45,814.306,0.347,106,-6,True,-0.06
25_11_02_03_00_03_15,UP,61,814.945,DOWN,43,815.895,0.95,104,-4,True,-0.04
25_11_02_03_00_03_15,DOWN,40,850.244,UP,55,852.56,2.316,95,5,True,0.05
25_11_02_03_00_03_15,UP,51,853.28,DOWN,50,858.685,5.405,101,-1,True,-0.01
25_11_02_03_00_03_15,DOWN,49,861.007,UP,44,862.282,1.275,93,7,True,0.07
25_11_02_03_00_03_15,UP,43,863.848,DOWN,52,868.169,4.321,95,5,True,0.05
25_11_02_03_00_03_15,DOWN,41,888.961,UP,68,891.162,2.201,109,-9,True,-0.09
25_11_02_03_00_03_15,UP,41,895.216,DOWN,74,895.216,0.0,115,-15,True,-0.15
25_11_02_03_00_03_15,UP,41,897.875,DOWN,74,897.875,0.0,115,-15,True,-0.15
25_11_02_04_00_04_15,DOWN,57,317.317,UP,39,325.798,8.481,96,4,True,0.04
25_11_02_04_00_04_15,UP,78,412.461,DOWN,20,423.011,10.55,98,2,True,0.02
25_11_02_05_00_05_15,UP,33,271.612,DOWN,65,273.931,2.319,98,2,True,0.02
25_11_02_05_00_05_15,DOWN,55,379.797,UP,40,383.627,3.83,95,5,True,0.05
25_11_02_05_00_05_15,DOWN,78,491.896,UP,17,495.815,3.919,95,5,True,0.05
25_11_02_06_00_06_15,DOWN,37,121.782,UP,61,122.488,0.706,98,2,True,0.02
25_11_02_06_00_06_15,UP,28,167.847,DOWN,70,181.935,14.088,98,2,True,0.02
25_11_02_08_00_08_15,DOWN,75,302.007,UP,26,311.48,9.473,101,-1,True,-0.01
25_11_02_08_00_08_15,DOWN,78,570.738,UP,20,581.767,11.029,98,2,True,0.02
25_11_02_09_00_09_15,UP,46,3.463,DOWN,48,7.687,4.224,94,6,True,0.06
25_11_02_09_00_09_15,DOWN,25,63.497,UP,73,75.182,11.685,98,2,True,0.02
25_11_02_10_00_10_15,UP,50,203.555,DOWN,59,205.022,1.467,109,-9,True,-0.09
25_11_02_10_00_10_15,DOWN,49,205.696,UP,49,219.331,13.635,98,2,True,0.02
25_11_02_10_00_10_15,DOWN,4,711.662,UP,94,727.814,16.152,98,2,True,0.02
25_11_02_12_00_12_15,DOWN,64,108.716,UP,33,117.471,8.755,97,3,True,0.03
25_11_02_12_00_12_15,UP,35,149.414,DOWN,63,157.4,7.986,98,2,True,0.02
25_11_02_12_00_12_15,UP,41,415.475,DOWN,56,422.141,6.666,97,3,True,0.03
25_11_02_13_00_13_15,DOWN,45,162.687,UP,52,172.776,10.089,97,3,True,0.03
25_11_02_14_00_14_15,UP,54,201.439,DOWN,43,207.868,6.429,97,3,True,0.03
25_11_02_14_00_14_15,UP,54,209.622,DOWN,44,223.024,13.402,98,2,True,0.02
25_11_02_14_00_14_15,DOWN,52,686.284,UP,43,688.632,2.348,95,5,True,0.05
25_11_02_14_00_14_15,DOWN,94,754.688,UP,4,760.431,5.743,98,2,True,0.02
25_11_02_14_00_14_15,DOWN,91,775.213,UP,7,787.383,12.17,98,2,True,0.02
25_11_02_15_00_15_15,DOWN,63,596.587,UP,34,604.587,8.0,97,3,True,0.03
25_11_02_15_00_15_15,DOWN,82,789.879,UP,12,798.705,8.826,94,6,True,0.06
25_11_02_16_00_16_15,UP,35,48.424,DOWN,73,48.424,0.0,108,-8,True,-0.08
25_11_02_17_00_17_15,DOWN,52,61.959,UP,46,71.734,9.775,98,2,True,0.02
25_11_02_17_00_17_15,UP,79,422.276,DOWN,19,432.206,9.93,98,2,True,0.02
25_11_02_18_00_18_15,UP,54,11.774,DOWN,44,11.87,0.096,98,2,True,0.02
25_11_02_19_00_19_15,DOWN,80,433.287,UP,14,436.135,2.848,94,6,True,0.06
25_11_02_22_00_22_15,DOWN,39,11.804,UP,58,23.757,11.953,97,3,True,0.03
25_11_02_22_00_22_15,UP,39,350.943,DOWN,58,361.815,10.872,97,3,True,0.03
25_11_02_22_00_22_15,DOWN,30,806.801,UP,65,815.683,8.882,95,5,True,0.05
25_11_02_22_00_22_15,DOWN,28,820.27,UP,67,821.27,1.0,95,5,True,0.05
25_11_02_23_00_23_15,DOWN,37,4.514,UP,60,14.46,9.946,97,3,True,0.03
25_11_03_00_00_00_15,UP,71,323.193,DOWN,27,335.987,12.794,98,2,True,0.02
25_11_03_00_00_00_15,DOWN,8,728.909,UP,87,734.108,5.199,95,5,True,0.05
25_11_03_01_00_01_15,DOWN,70,55.929,UP,28,64.052,8.123,98,2,True,0.02
25_11_03_01_00_01_15,UP,24,72.48,DOWN,73,81.482,9.002,97,3,True,0.03
25_11_03_01_00_01_15,DOWN,64,106.57,UP,34,119.442,12.872,98,2,True,0.02
25_11_03_01_00_01_15,DOWN,77,371.0,UP,20,381.705,10.705,97,3,True,0.03
25_11_03_01_00_01_15,UP,58,608.105,DOWN,40,620.203,12.098,98,2,True,0.02
25_11_03_01_00_01_15,DOWN,24,649.02,UP,70,651.385,2.365,94,6,True,0.06
25_11_03_01_00_01_15,DOWN,28,653.916,UP,69,664.149,10.233,97,3,True,0.03
25_11_03_01_00_01_15,UP,66,668.475,DOWN,30,673.07,4.595,96,4,True,0.04
25_11_03_01_00_01_15,UP,73,749.457,DOWN,25,761.103,11.646,98,2,True,0.02
25_11_03_01_00_01_15,UP,65,790.388,DOWN,34,800.144,9.756,99,1,True,0.01
25_11_03_01_00_01_15,DOWN,24,802.538,UP,72,808.66,6.122,96,4,True,0.04
25_11_03_01_00_01_15,DOWN,29,817.892,UP,66,820.309,2.417,95,5,True,0.05
25_11_03_01_00_01_15,DOWN,31,841.329,UP,65,846.112,4.783,96,4,True,0.04
25_11_03_01_00_01_15,DOWN,62,865.192,UP,41,869.257,4.065,103,-3,True,-0.03
25_11_03_02_00_02_15,UP,27,606.973,DOWN,71,619.396,12.423,98,2,True,0.02
25_11_03_02_00_02_15,UP,4,774.308,DOWN,94,774.665,0.357,98,2,True,0.02
25_11_03_02_00_02_15,UP,78,810.801,DOWN,20,815.09,4.289,98,2,True,0.02
25_11_03_02_00_02_15,UP,82,816.255,DOWN,19,817.951,1.696,101,-1,True,-0.01
25_11_03_02_00_02_15,DOWN,6,862.908,UP,89,869.082,6.174,95,5,True,0.05
25_11_03_02_00_02_15,DOWN,8,890.736,UP,84,896.119,5.383,92,8,True,0.08
25_11_03_03_00_03_15,DOWN,52,404.963,UP,46,408.733,3.77,98,2,True,0.02
25_11_03_04_00_04_15,UP,45,8.996,DOWN,49,11.72,2.724,94,6,True,0.06
25_11_03_04_00_04_15,DOWN,42,13.583,UP,52,17.835,4.252,94,6,True,0.06
25_11_03_04_00_04_15,DOWN,38,51.646,UP,59,61.621,9.975,97,3,True,0.03
25_11_03_04_00_04_15,UP,45,72.792,DOWN,49,76.788,3.996,94,6,True,0.06
25_11_03_04_00_04_15,UP,49,147.048,DOWN,49,158.8,11.752,98,2,True,0.02
25_11_03_04_00_04_15,DOWN,42,189.872,UP,53,195.959,6.087,95,5,True,0.05
25_11_03_04_00_04_15,DOWN,49,201.509,UP,49,215.859,14.35,98,2,True,0.02
25_11_03_04_00_04_15,UP,21,273.324,DOWN,74,277.337,4.013,95,5,True,0.05
25_11_03_04_00_04_15,DOWN,86,283.339,UP,11,288.904,5.565,97,3,True,0.03
25_11_03_04_00_04_15,UP,9,305.593,DOWN,89,319.241,13.648,98,2,True,0.02
25_11_03_04_00_04_15,DOWN,67,632.914,UP,28,636.967,4.053,95,5,True,0.05
25_11_03_04_00_04_15,UP,26,637.582,DOWN,69,640.494,2.912,95,5,True,0.05
25_11_03_04_00_04_15,DOWN,69,642.745,UP,29,649.373,6.628,98,2,True,0.02
25_11_03_05_00_05_15,UP,57,92.535,DOWN,41,102.726,10.191,98,2,True,0.02
25_11_03_05_00_05_15,UP,52,670.674,DOWN,46,674.452,3.778,98,2,True,0.02
25_11_03_06_00_06_15,UP,43,14.31,DOWN,55,15.131,0.821,98,2,True,0.02
25_11_03_06_00_06_15,DOWN,37,78.241,UP,59,85.327,7.086,96,4,True,0.04
25_11_03_06_00_06_15,UP,38,635.653,DOWN,68,640.936,5.283,106,-6,True,-0.06
25_11_03_07_00_07_15,UP,48,9.215,DOWN,51,11.294,2.079,99,1,True,0.01
25_11_03_07_00_07_15,DOWN,61,128.2,UP,37,129.88,1.68,98,2,True,0.02
25_11_03_07_00_07_15,DOWN,80,404.34,UP,16,411.74,7.4,96,4,True,0.04
25_11_03_07_00_07_15,DOWN,75,542.771,UP,23,552.769,9.998,98,2,True,0.02
25_11_03_07_00_07_15,DOWN,71,601.606,UP,27,611.798,10.192,98,2,True,0.02
25_11_03_07_00_07_15,UP,19,665.362,DOWN,80,669.72,4.358,99,1,True,0.01
25_11_03_07_00_07_15,UP,8,768.664,DOWN,88,772.45,3.786,96,4,True,0.04
25_11_03_07_00_07_15,UP,11,778.749,DOWN,86,785.99,7.241,97,3,True,0.03
25_11_03_07_00_07_15,DOWN,72,788.256,UP,18,792.493,4.237,90,10,True,0.1
25_11_03_07_00_07_15,UP,29,808.482,DOWN,70,818.896,10.414,99,1,True,0.01
25_11_03_07_00_07_15,DOWN,88,863.124,UP,8,869.972,6.848,96,4,True,0.04
25_11_03_08_00_08_15,DOWN,48,6.173,UP,47,16.835,10.662,95,5,True,0.05
25_11_03_08_00_08_15,UP,52,184.346,DOWN,46,193.515,9.169,98,2,True,0.02
25_11_03_08_00_08_15,UP,61,242.097,DOWN,37,251.132,9.035,98,2,True,0.02
25_11_03_09_00_09_15,UP,42,10.895,DOWN,56,12.864,1.969,98,2,True,0.02
25_11_03_09_00_09_15,DOWN,41,83.576,UP,57,93.244,9.668,98,2,True,0.02
25_11_03_09_00_09_15,UP,57,143.835,DOWN,41,145.023,1.188,98,2,True,0.02
25_11_03_09_00_09_15,DOWN,26,239.16,UP,70,244.098,4.938,96,4,True,0.04
25_11_03_10_00_10_15,DOWN,35,29.523,UP,62,40.164,10.641,97,3,True,0.03
25_11_03_11_00_11_15,DOWN,40,7.346,UP,58,18.762,11.416,98,2,True,0.02
25_11_03_11_00_11_15,UP,68,86.613,DOWN,29,95.316,8.703,97,3,True,0.03
25_11_03_11_00_11_15,DOWN,16,120.595,UP,82,133.378,12.783,98,2,True,0.02
25_11_03_12_00_12_15,DOWN,12,269.845,UP,82,272.795,2.95,94,6,True,0.06
25_11_03_12_00_12_15,UP,80,274.827,DOWN,21,275.216,0.389,101,-1,True,-0.01
25_11_03_12_00_12_15,UP,75,278.339,DOWN,23,285.087,6.748,98,2,True,0.02
25_11_03_12_00_12_15,UP,76,291.472,DOWN,20,298.028,6.556,96,4,True,0.04
25_11_03_12_00_12_15,UP,53,352.06,DOWN,46,360.554,8.494,99,1,True,0.01
25_11_03_13_00_13_15,DOWN,75,369.506,UP,19,372.281,2.775,94,6,True,0.06
25_11_03_13_00_13_15,DOWN,85,847.206,UP,13,850.366,3.16,98,2,True,0.02
25_11_03_14_00_14_15,UP,50,1.873,DOWN,45,7.525,5.652,95,5,True,0.05
25_11_03_16_00_16_15,UP,17,618.137,DOWN,81,626.261,8.124,98,2,True,0.02
25_11_03_16_00_16_15,UP,26,665.025,DOWN,69,675.479,10.454,95,5,True,0.05
