window_id,side,buy_price,buy_time,sell_price,sell_time,pnl_cents
25_10_31_01_00_01_15,DOWN,28,266.211,23,284.184,-5
25_10_31_04_00_04_15,DOWN,59,135.664,58,152.068,-1
25_10_31_04_00_04_15,DOWN,63,218.511,59,241.301,-4
25_10_31_04_00_04_15,DOWN,28,414.941,20,431.291,-8
25_10_31_05_00_05_15,UP,29,63.996,17,79.018,-12
25_10_31_06_00_06_15,UP,48,264.505,43,279.534,-5
25_10_31_06_00_06_15,UP,6,490.322,3,506.368,-3
25_10_31_07_00_07_15,UP,65,52.88,61,69.931,-4
25_10_31_07_00_07_15,UP,48,211.033,27,226.699,-21
25_10_31_07_00_07_15,UP,23,290.121,13,312.607,-10
25_10_31_08_00_08_15,DOWN,43,83.272,42,98.413,-1
25_10_31_08_00_08_15,DOWN,25,627.571,25,643.638,0
25_10_31_08_00_08_15,UP,59,661.15,39,676.301,-20
25_10_31_08_00_08_15,DOWN,70,739.094,68,763.197,-2
25_10_31_09_00_09_15,DOWN,40,76.066,28,91.206,-12
25_10_31_09_00_09_15,UP,52,296.285,41,311.324,-11
25_10_31_09_00_09_15,DOWN,11,835.677,6,851.4,-5
25_10_31_10_00_10_15,DOWN,51,6.556,39,23.137,-12
25_10_31_10_00_10_15,DOWN,34,24.158,35,39.216,1
25_10_31_10_00_10_15,UP,63,72.875,57,90.448,-6
25_10_31_10_00_10_15,UP,59,123.877,56,140.521,-3
25_10_31_10_00_10_15,DOWN,64,482.605,49,497.698,-15
25_10_31_10_00_10_15,UP,36,507.114,23,522.219,-13
25_10_31_10_00_10_15,DOWN,67,662.481,63,685.494,-4
25_10_31_10_00_10_15,UP,18,818.123,4,833.315,-14
25_10_31_11_00_11_15,UP,19,335.723,11,353.719,-8
25_10_31_12_00_12_15,DOWN,48,157.748,45,172.854,-3
25_10_31_12_00_12_15,DOWN,33,210.823,15,226.046,-18
25_10_31_12_00_12_15,DOWN,70,458.952,69,474.0,-1
25_10_31_12_00_12_15,UP,21,586.08,20,601.52,-1
25_10_31_13_00_13_15,DOWN,35,110.132,30,125.337,-5
25_10_31_14_00_14_15,UP,42,78.44,39,94.604,-3
25_10_31_14_00_14_15,DOWN,51,244.581,47,260.519,-4
25_10_31_14_00_14_15,DOWN,30,582.728,23,600.198,-7
25_10_31_14_00_14_15,DOWN,15,616.731,6,631.815,-9
25_10_31_14_00_14_15,UP,91,670.872,79,685.948,-12
25_10_31_14_00_14_15,UP,64,707.863,51,723.151,-13
25_10_31_14_00_14_15,UP,56,744.932,35,760.151,-21
25_10_31_14_00_14_15,DOWN,59,780.303,49,795.319,-10
25_10_31_14_00_14_15,UP,29,830.562,10,845.666,-19
25_10_31_14_00_14_15,UP,2,856.678,1,857.749,-1
25_10_31_15_00_15_15,DOWN,79,272.87,75,287.935,-4
25_10_31_15_00_15_15,DOWN,85,477.769,66,492.774,-19
25_10_31_15_00_15_15,DOWN,67,496.084,29,511.887,-38
25_10_31_15_00_15_15,DOWN,30,514.726,21,530.065,-9
25_10_31_15_00_15_15,UP,64,709.949,59,725.178,-5
25_10_31_15_00_15_15,UP,47,784.856,34,800.197,-13
25_10_31_15_00_15_15,UP,36,800.855,20,815.947,-16
25_10_31_15_00_15_15,DOWN,79,822.883,62,838.094,-17
25_10_31_15_00_15_15,UP,10,897.335,0,899.423,-10
25_10_31_16_00_16_15,UP,44,14.01,39,29.953,-5
25_10_31_16_00_16_15,UP,38,31.847,35,50.091,-3
25_10_31_16_00_16_15,DOWN,57,55.484,54,72.776,-3
25_10_31_16_00_16_15,UP,20,542.878,12,558.298,-8
25_10_31_16_00_16_15,DOWN,80,614.905,68,630.224,-12
25_10_31_16_00_16_15,UP,48,652.316,29,667.345,-19
25_10_31_16_00_16_15,UP,7,718.241,6,733.544,-1
25_10_31_17_00_17_15,UP,38,22.278,32,37.351,-6
25_10_31_17_00_17_15,UP,73,319.159,65,334.199,-8
25_10_31_18_00_18_15,DOWN,50,7.399,39,22.514,-11
25_10_31_18_00_18_15,UP,62,122.381,58,141.348,-4
25_10_31_18_00_18_15,UP,80,492.977,67,507.986,-13
25_10_31_18_00_18_15,UP,80,548.519,81,563.654,1
25_10_31_18_00_18_15,DOWN,28,768.975,18,784.181,-10
25_10_31_20_00_20_15,UP,57,2.131,39,18.064,-18
25_10_31_20_00_20_15,UP,39,65.264,36,82.051,-3
25_10_31_20_00_20_15,UP,13,315.12,11,330.768,-2
25_10_31_20_00_20_15,DOWN,77,485.108,71,500.938,-6
25_10_31_20_00_20_15,DOWN,58,745.415,52,761.279,-6
25_10_31_21_00_21_15,DOWN,23,520.365,17,540.345,-6
25_10_31_21_00_21_15,DOWN,17,771.955,11,787.794,-6
25_10_31_21_00_21_15,DOWN,13,787.808,16,807.756,3
25_10_31_21_00_21_15,UP,73,840.695,4,856.307,-69
25_10_31_22_00_22_15,DOWN,59,157.718,54,175.728,-5
25_10_31_22_00_22_15,DOWN,55,350.976,47,366.204,-8
25_10_31_23_00_23_15,DOWN,43,289.844,33,304.886,-10
25_10_31_23_00_23_15,DOWN,59,434.075,49,451.36,-10
25_10_31_23_00_23_15,DOWN,48,547.315,40,562.411,-8
25_10_31_23_00_23_15,DOWN,45,691.053,42,706.266,-3
25_10_31_23_00_23_15,UP,61,810.843,13,826.132,-48
25_10_31_23_00_23_15,UP,21,833.577,5,849.308,-16
25_11_01_00_00_00_15,UP,50,88.308,26,103.519,-24
25_11_01_01_00_01_15,DOWN,27,106.699,13,121.978,-14
25_11_01_01_00_01_15,DOWN,13,266.377,13,281.394,0
25_11_01_02_00_02_15,UP,47,7.528,40,24.601,-7
25_11_01_02_00_02_15,UP,57,131.43,26,146.916,-31
25_11_01_02_00_02_15,DOWN,77,242.372,71,258.584,-6
25_11_01_03_00_03_15,DOWN,56,8.782,45,29.496,-11
25_11_01_04_00_04_15,DOWN,54,6.99,51,24.065,-3
25_11_01_04_00_04_15,DOWN,47,62.273,30,78.042,-17
25_11_01_04_00_04_15,DOWN,36,173.379,30,189.251,-6
25_11_01_04_00_04_15,UP,70,688.119,71,707.843,1
25_11_01_04_00_04_15,DOWN,15,724.34,13,739.395,-2
