name,trades,ev_invested,worst_loss,worst_1pct,gap_count,severe_gap_count,max_dd_3pct,profit_factor
BASELINE,1461,0.0295,-0.3516,-0.1209,6,1,0.0131,2.59
TWOSIDED_max25_slope5,1451,0.0295,-0.3516,-0.1209,6,1,0.0131,2.6
HEDGE_10pct,1461,0.0295,-0.3516,-0.1209,6,1,0.0131,2.59
HEDGE_20pct,1461,0.0295,-0.3516,-0.1209,6,1,0.0131,2.59
TWOSIDED_max20_slope5,1445,0.0294,-0.3516,-0.1209,6,1,0.0131,2.59
TWOSIDED_max20_slope8,1448,0.0292,-0.3516,-0.1209,6,1,0.0131,2.56
TWOSIDED_max20_slope10,1448,0.0292,-0.3516,-0.1209,6,1,0.0131,2.56
TWOSIDED_max25_slope8,1454,0.0292,-0.3516,-0.1209,6,1,0.0131,2.57
TWOSIDED_max25_slope10,1454,0.0292,-0.3516,-0.1209,6,1,0.0131,2.57
JUMP_12c,1452,0.0291,-0.3516,-0.1209,6,1,0.0131,2.56
TWOSIDED_max15_slope5,1384,0.029,-0.3516,-0.1209,6,1,0.0151,2.55
TWOSIDED_max15_slope8,1384,0.029,-0.3516,-0.1209,6,1,0.0151,2.55
TWOSIDED_max15_slope10,1384,0.029,-0.3516,-0.1209,6,1,0.0151,2.55
JUMP_10c_OPP20,1436,0.0288,-0.3516,-0.1209,6,1,0.0131,2.53
JUMP_10c,1437,0.0287,-0.3516,-0.1209,6,1,0.0131,2.52
JUMP_10c_OPP25,1437,0.0287,-0.3516,-0.1209,6,1,0.0131,2.52
JUMP_8c_OPP20,1416,0.0284,-0.3516,-0.1209,6,1,0.0131,2.49
JUMP_8c_OPP20_HEDGE10,1416,0.0284,-0.3516,-0.1209,6,1,0.0131,2.49
JUMP_8c,1417,0.0283,-0.3516,-0.1209,6,1,0.0131,2.48
JUMP_8c_OPP25,1417,0.0283,-0.3516,-0.1209,6,1,0.0131,2.48
JUMP_6c,1339,0.0278,-0.2308,-0.1196,5,0,0.0131,2.46
