window_id,type,entry,won,gross,fee,net
25_10_31_01_00_01_15,fullset,94,True,1.2000,0.6457,0.5543
25_10_31_10_00_10_15,fullset,94,True,1.2000,0.6103,0.5897
25_11_02_10_00_10_15,fullset,93,True,1.4000,0.4022,0.9978
25_11_02_22_00_22_15,fullset,92,True,1.6000,0.6456,0.9544
25_11_02_23_00_23_15,fullset,94,True,1.2000,0.5937,0.6063
25_11_09_18_00_18_15,fullset,94,True,1.2000,0.6412,0.5588
25_11_14_18_00_18_15,fullset,94,True,1.2000,0.6527,0.5473
25_11_15_18_00_18_15,fullset,94,True,1.2000,0.6495,0.5505
25_11_25_02_00_02_15,fullset,92,True,1.6000,0.6694,0.9306
25_11_28_14_00_14_15,fullset,78,True,4.4000,0.7252,3.6748
25_11_28_23_00_23_15,fullset,89,True,2.2000,0.6055,1.5945
25_12_09_08_00_08_15,fullset,92,True,1.6000,0.6694,0.9306
25_12_13_07_00_07_15,fullset,94,True,1.2000,0.6244,0.5756
25_12_14_06_00_06_15,fullset,90,True,2.0000,0.6075,1.3925
25_12_14_09_00_09_15,fullset,90,True,2.0000,0.6481,1.3519
25_12_17_22_00_22_15,fullset,93,True,1.4000,0.5928,0.8072
25_12_18_03_00_03_15,fullset,92,True,1.6000,0.6595,0.9405
25_12_19_11_00_11_15,fullset,90,True,2.0000,0.6725,1.3275
25_12_20_10_00_10_15,fullset,89,True,2.2000,0.5456,1.6544
25_12_20_11_00_11_15,fullset,94,True,1.2000,0.5937,0.6063
25_12_20_16_00_16_15,fullset,94,True,1.2000,0.6412,0.5588
25_10_31_02_00_02_15,directional,96,True,0.4000,0.0038,0.3962
25_10_31_04_00_04_15,directional,96,False,-9.6000,0.0038,-9.6038
25_10_31_06_00_06_15,directional,96,True,0.4000,0.0038,0.3962
25_10_31_07_00_07_15,directional,96,True,0.4000,0.0038,0.3962
25_10_31_11_00_11_15,directional,96,True,0.4000,0.0038,0.3962
25_11_01_00_00_00_15,directional,96,True,0.4000,0.0038,0.3962
25_11_01_02_00_02_15,directional,96,True,0.4000,0.0038,0.3962
25_11_01_03_00_03_15,directional,96,True,0.4000,0.0038,0.3962
25_11_01_04_00_04_15,directional,97,True,0.3000,0.0022,0.2978
25_11_01_05_00_05_15,directional,96,True,0.4000,0.0038,0.3962
25_11_01_06_00_06_15,directional,96,True,0.4000,0.0038,0.3962
25_11_01_07_00_07_15,directional,96,True,0.4000,0.0038,0.3962
25_11_01_08_00_08_15,directional,97,True,0.3000,0.0022,0.2978
25_11_01_15_00_15_15,directional,96,True,0.4000,0.0038,0.3962
25_11_01_16_00_16_15,directional,96,False,-9.6000,0.0038,-9.6038
25_11_01_17_00_17_15,directional,97,True,0.3000,0.0022,0.2978
25_11_01_19_00_19_15,directional,96,True,0.4000,0.0038,0.3962
25_11_01_22_00_22_15,directional,98,True,0.2000,0.0010,0.1990
25_11_02_02_00_02_15,directional,96,False,-9.6000,0.0038,-9.6038
25_11_02_05_00_05_15,directional,96,True,0.4000,0.0038,0.3962
25_11_02_07_00_07_15,directional,96,True,0.4000,0.0038,0.3962
25_11_02_09_00_09_15,directional,98,True,0.2000,0.0010,0.1990
25_11_02_11_00_11_15,directional,96,True,0.4000,0.0038,0.3962
25_11_02_13_00_13_15,directional,96,True,0.4000,0.0038,0.3962
25_11_02_16_00_16_15,directional,97,True,0.3000,0.0022,0.2978
25_11_02_19_00_19_15,directional,96,True,0.4000,0.0038,0.3962
25_11_03_00_00_00_15,directional,97,True,0.3000,0.0022,0.2978
25_11_03_01_00_01_15,directional,96,True,0.4000,0.0038,0.3962
25_11_03_02_00_02_15,directional,97,False,-9.7000,0.0022,-9.7022
25_11_03_03_00_03_15,directional,96,True,0.4000,0.0038,0.3962
25_11_03_04_00_04_15,directional,97,True,0.3000,0.0022,0.2978
25_11_03_09_00_09_15,directional,96,True,0.4000,0.0038,0.3962
25_11_03_10_00_10_15,directional,96,True,0.4000,0.0038,0.3962
25_11_03_11_00_11_15,directional,96,True,0.4000,0.0038,0.3962
25_11_03_14_00_14_15,directional,96,True,0.4000,0.0038,0.3962
25_11_03_15_00_15_15,directional,96,True,0.4000,0.0038,0.3962
25_11_03_19_00_19_15,directional,97,True,0.3000,0.0022,0.2978
25_11_03_20_00_20_15,directional,97,True,0.3000,0.0022,0.2978
25_11_03_22_00_22_15,directional,96,True,0.4000,0.0038,0.3962
25_11_03_23_00_23_15,directional,96,True,0.4000,0.0038,0.3962
25_11_04_02_00_02_15,directional,96,True,0.4000,0.0038,0.3962
25_11_04_05_00_05_15,directional,96,True,0.4000,0.0038,0.3962
25_11_04_08_00_08_15,directional,96,True,0.4000,0.0038,0.3962
25_11_04_17_00_17_15,directional,96,True,0.4000,0.0038,0.3962
25_11_04_22_00_22_15,directional,96,True,0.4000,0.0038,0.3962
25_11_05_01_00_01_15,directional,96,True,0.4000,0.0038,0.3962
25_11_05_02_00_02_15,directional,96,True,0.4000,0.0038,0.3962
25_11_05_09_00_09_15,directional,96,True,0.4000,0.0038,0.3962
