window_id,trade_type,entry_time,entry_side,entry_price,spike_side,spike_price,reversal_score,exit_price,gross_pnl,fee,net_pnl,spike_speed,opp_trend,time_remaining
25_10_31_01_00_01_15,full_set,25.555,BOTH,94,N/A,0,0,100,120.00,0.6457,55.43,0.00,0.0,874
25_10_31_01_00_01_15,fade_spike,382.834,DOWN,11,UP,91,4,2,-110.00,0.2178,-131.78,0.40,-2.0,517
25_10_31_01_00_01_15,safe_directional,386.399,UP,92,UP,92,1,99,80.00,0.0147,78.53,0.60,-4.0,514
25_10_31_02_00_02_15,full_set,41.974,BOTH,99,N/A,0,0,100,20.00,0.6234,-42.34,0.00,0.0,858
25_10_31_02_00_02_15,safe_directional,365.975,DOWN,90,DOWN,90,1,99,100.00,0.0225,97.75,0.40,-3.0,534
25_10_31_02_00_02_15,fade_spike,375.496,UP,10,DOWN,94,4,2,-100.00,0.2025,-120.25,0.60,-1.0,525
25_10_31_03_00_03_15,fade_spike,286.956,UP,12,DOWN,92,4,99,880.00,0.2323,856.77,0.60,0.0,613
25_10_31_03_00_03_15,full_set,364.366,BOTH,99,N/A,0,0,100,20.00,0.6079,-40.79,0.00,0.0,536
25_10_31_03_00_03_15,safe_directional,604.521,UP,90,UP,90,0,99,100.00,0.0225,97.75,0.20,-3.0,295
25_10_31_04_00_04_15,safe_directional,559.375,UP,90,UP,90,1,96,-900.00,0.0225,-902.25,0.80,-4.0,341
25_10_31_04_00_04_15,fade_spike,576.6,DOWN,4,UP,97,4,6,-40.00,0.0922,-49.22,-0.20,1.0,323
25_10_31_05_00_05_15,fade_spike,288.317,UP,12,DOWN,90,5,2,-120.00,0.2323,-143.23,0.00,1.0,612
25_10_31_05_00_05_15,safe_directional,356.084,DOWN,90,DOWN,90,1,99,100.00,0.0225,97.75,0.40,-4.0,544
25_10_31_05_00_05_15,full_set,465.841,BOTH,98,N/A,0,0,100,40.00,0.4144,-1.44,0.00,0.0,434
25_10_31_06_00_06_15,full_set,163.172,BOTH,99,N/A,0,0,100,20.00,0.5971,-39.71,0.00,0.0,737
25_10_31_06_00_06_15,safe_directional,383.931,DOWN,90,DOWN,90,1,99,100.00,0.0225,97.75,0.60,-3.0,516
25_10_31_06_00_06_15,fade_spike,386.327,UP,16,DOWN,91,5,4,-160.00,0.2822,-188.22,0.60,3.0,514
25_10_31_07_00_07_15,full_set,227.118,BOTH,99,N/A,0,0,100,20.00,0.5431,-34.31,0.00,0.0,673
25_10_31_07_00_07_15,fade_spike,331.331,UP,13,DOWN,90,5,3,-130.00,0.2460,-154.60,0.00,1.0,569
25_10_31_07_00_07_15,safe_directional,405.432,DOWN,94,DOWN,94,1,99,60.00,0.0085,59.15,0.20,-3.0,495
25_10_31_08_00_08_15,safe_directional,265.298,UP,90,UP,90,1,4,-900.00,0.0225,-902.25,2.00,-9.0,635
25_10_31_08_00_08_15,fade_spike,274.906,DOWN,11,UP,91,5,99,890.00,0.2178,868.22,0.20,1.0,625
25_10_31_08_00_08_15,full_set,690.236,BOTH,88,N/A,0,0,100,240.00,0.5254,187.46,0.00,0.0,210
25_10_31_09_00_09_15,fade_spike,153.445,DOWN,14,UP,90,4,5,-140.00,0.2589,-165.89,0.60,0.0,747
25_10_31_09_00_09_15,full_set,399.384,BOTH,98,N/A,0,0,100,40.00,0.6306,-23.06,0.00,0.0,501
25_10_31_09_00_09_15,safe_directional,649.869,UP,90,UP,90,1,98,100.00,0.0225,97.75,0.80,-2.0,250
25_10_31_10_00_10_15,full_set,24.158,BOTH,94,N/A,0,0,100,120.00,0.6103,58.97,0.00,0.0,876
25_10_31_10_00_10_15,safe_directional,820.781,DOWN,91,DOWN,91,-1,99,90.00,0.0184,88.16,2.40,-16.0,79
25_10_31_10_00_10_15,fade_spike,825.926,UP,12,DOWN,94,5,5,-120.00,0.2323,-143.23,0.60,2.0,74
25_10_31_11_00_11_15,safe_directional,441.85,DOWN,90,DOWN,90,1,99,100.00,0.0225,97.75,1.20,-6.0,458
25_10_31_11_00_11_15,fade_spike,456.999,UP,8,DOWN,95,4,2,-80.00,0.1693,-96.93,0.20,0.0,443
25_10_31_12_00_12_15,full_set,157.748,BOTH,98,N/A,0,0,100,40.00,0.6370,-23.70,0.00,0.0,742
25_10_31_12_00_12_15,safe_directional,672.362,DOWN,90,DOWN,90,1,99,100.00,0.0225,97.75,0.40,-1.0,228
25_10_31_12_00_12_15,fade_spike,687.36,UP,10,DOWN,93,4,2,-100.00,0.2025,-120.25,-0.20,3.0,213
25_10_31_13_00_13_15,full_set,110.132,BOTH,99,N/A,0,0,100,20.00,0.5693,-36.93,0.00,0.0,790
25_10_31_13_00_13_15,fade_spike,529.771,DOWN,14,UP,90,4,2,-140.00,0.2589,-165.89,0.20,-1.0,370
25_10_31_13_00_13_15,safe_directional,561.535,UP,90,UP,90,1,99,100.00,0.0225,97.75,1.60,-7.0,338
25_10_31_14_00_14_15,full_set,217.435,BOTH,99,N/A,0,0,100,20.00,0.5431,-34.31,0.00,0.0,683
25_10_31_14_00_14_15,safe_directional,626.448,UP,93,UP,93,0,7,-930.00,0.0114,-931.14,1.40,-8.0,274
25_10_31_14_00_14_15,fade_spike,633.25,DOWN,13,UP,94,5,98,870.00,0.2460,845.40,0.40,3.0,267
25_10_31_15_00_15_15,fade_spike,416.194,UP,15,DOWN,91,6,3,-150.00,0.2709,-177.09,0.60,2.0,484
25_10_31_15_00_15_15,safe_directional,426.374,DOWN,94,DOWN,94,0,99,60.00,0.0085,59.15,0.40,-7.0,474
25_10_31_15_00_15_15,full_set,482.953,BOTH,97,N/A,0,0,100,60.00,0.5052,9.48,0.00,0.0,417
25_10_31_16_00_16_15,safe_directional,561.871,DOWN,90,DOWN,90,1,99,100.00,0.0225,97.75,1.20,-5.0,338
25_10_31_16_00_16_15,fade_spike,597.834,UP,12,DOWN,92,4,3,-120.00,0.2323,-143.23,0.60,0.0,302
25_10_31_16_00_16_15,full_set,655.438,BOTH,99,N/A,0,0,100,20.00,0.6167,-41.67,0.00,0.0,245
25_10_31_17_00_17_15,full_set,494.293,BOTH,99,N/A,0,0,100,20.00,0.2088,-0.88,0.00,0.0,406
25_10_31_17_00_17_15,safe_directional,494.727,UP,92,UP,92,1,99,80.00,0.0147,78.53,0.80,-5.0,405
25_10_31_17_00_17_15,fade_spike,499.554,DOWN,10,UP,92,5,2,-100.00,0.2025,-120.25,0.40,1.0,400
25_10_31_18_00_18_15,full_set,28.698,BOTH,98,N/A,0,0,100,40.00,0.5991,-19.91,0.00,0.0,871
25_10_31_18_00_18_15,safe_directional,432.27,UP,90,UP,90,1,99,100.00,0.0225,97.75,1.20,-6.0,468
25_10_31_18_00_18_15,fade_spike,469.356,DOWN,11,UP,91,4,4,-110.00,0.2178,-131.78,-0.20,1.0,431
25_10_31_19_00_19_15,fade_spike,211.139,UP,14,DOWN,90,4,6,-140.00,0.2589,-165.89,0.60,-1.0,689
25_10_31_19_00_19_15,safe_directional,214.634,DOWN,90,DOWN,90,1,99,100.00,0.0225,97.75,0.60,-3.0,685
25_10_31_20_00_20_15,safe_directional,315.557,DOWN,93,DOWN,93,1,96,-930.00,0.0114,-931.14,2.00,-9.0,584
25_10_31_20_00_20_15,fade_spike,601.113,UP,13,DOWN,90,4,9,-130.00,0.2460,-154.60,0.00,1.0,299
25_10_31_20_00_20_15,full_set,683.256,BOTH,98,N/A,0,0,100,40.00,0.5416,-14.16,0.00,0.0,217
25_10_31_21_00_21_15,full_set,771.955,BOTH,95,N/A,0,0,100,100.00,0.3320,66.80,0.00,0.0,128
25_10_31_21_00_21_15,fade_spike,808.879,DOWN,22,UP,90,5,98,780.00,0.3346,746.54,0.40,2.0,91
25_10_31_21_00_21_15,safe_directional,854.641,DOWN,91,DOWN,91,1,98,90.00,0.0184,88.16,2.40,-13.0,45
25_10_31_22_00_22_15,full_set,502.702,BOTH,99,N/A,0,0,100,20.00,0.5008,-30.08,0.00,0.0,397
25_10_31_22_00_22_15,safe_directional,609.33,UP,90,UP,90,0,99,100.00,0.0225,97.75,1.60,-6.0,291
25_10_31_22_00_22_15,fade_spike,620.46,DOWN,11,UP,91,4,1,-110.00,0.2178,-131.78,0.00,1.0,280
25_10_31_23_00_23_15,full_set,685.299,BOTH,99,N/A,0,0,100,20.00,0.5843,-38.43,0.00,0.0,215
25_10_31_23_00_23_15,safe_directional,833.908,DOWN,94,DOWN,94,1,99,60.00,0.0085,59.15,2.20,-8.0,66
25_10_31_23_00_23_15,fade_spike,849.308,UP,17,DOWN,94,5,6,-170.00,0.2928,-199.28,0.00,1.0,51
25_11_01_00_00_00_15,fade_spike,196.667,UP,11,DOWN,92,5,2,-110.00,0.2178,-131.78,0.00,1.0,703
25_11_01_00_00_00_15,safe_directional,223.67,DOWN,92,DOWN,92,1,99,80.00,0.0147,78.53,0.20,-3.0,676
25_11_01_01_00_01_15,full_set,71.708,BOTH,99,N/A,0,0,100,20.00,0.6260,-42.60,0.00,0.0,828
25_11_01_01_00_01_15,fade_spike,247.906,DOWN,12,UP,90,5,2,-120.00,0.2323,-143.23,0.00,1.0,652
25_11_01_01_00_01_15,safe_directional,266.377,UP,91,UP,91,0,99,90.00,0.0184,88.16,1.00,-6.0,634
