name,trades,wins,reversals,win_rate,reversal_rate,avg_entry,avg_exit,ev_per_share,ev_invested,total_pnl,worst_loss
LATE100_PERSIST5,456,446,10,0.9781,0.0219,90.96,0,0.0685,0.0753,31.24,-0.94
LATE100_PERSIST5_pmax93_slip1,412,403,9,0.9782,0.0218,91.4,0,0.0642,0.0702,26.43,-0.92
LATE100_PERSIST3,494,480,14,0.9717,0.0283,90.94,0,0.0622,0.0684,30.75,-0.94
LATE60_PERSIST5,269,262,7,0.974,0.026,91.23,0,0.0617,0.0676,16.6,-0.94
LATE60_PERSIST5_pmax93_slip1,231,225,6,0.974,0.026,91.44,0,0.0597,0.0652,13.78,-0.92
LATE100_PERSIST3_pmax93_slip1,447,435,12,0.9732,0.0268,91.4,0,0.0591,0.0647,26.43,-0.93
LATE60_PERSIST3,294,284,10,0.966,0.034,91.19,0,0.054,0.0593,15.89,-0.94
LATE60_PERSIST3_pmax93_slip1,253,245,8,0.9684,0.0316,91.43,0,0.0541,0.0592,13.69,-0.92
SPIKE_floor89_push94_m10,1002,960,42,0.9581,0.0419,90.74,0,0.0507,0.0559,50.83,-0.96
SPIKE_floor88_push94_m10,1094,1048,46,0.958,0.042,90.75,0,0.0504,0.0555,55.15,-0.96
SPIKE_floor88_push93_m10,1540,1472,68,0.9558,0.0442,90.6,0,0.0499,0.0551,76.81,-0.96
LATE_le100s,854,819,35,0.959,0.041,90.93,0,0.0497,0.0547,42.46,-0.98
SPIKE_floor89_push93_m10,1396,1333,63,0.9549,0.0451,90.59,0,0.049,0.0541,68.42,-0.96
SPIKE_floor87_push94_m10,1131,1080,51,0.9549,0.0451,90.77,0,0.0472,0.052,53.43,-0.96
SPIKE_floor87_push93_m10,1597,1521,76,0.9524,0.0476,90.61,0,0.0463,0.0511,73.98,-0.96
SPIKE_floor88_push93_m5,1081,1030,51,0.9528,0.0472,90.85,0,0.0443,0.0487,47.87,-0.96
LATE_le200s,1767,1678,89,0.9496,0.0504,90.62,0,0.0434,0.0479,76.75,-0.98
SPIKE_floor89_push93_m5,1019,969,50,0.9509,0.0491,90.82,0,0.0428,0.0471,43.59,-0.96
SPIKE_floor89_push92_m10,1919,1815,104,0.9458,0.0542,90.48,0,0.041,0.0454,78.75,-0.96
SPIKE_floor87_push93_m5,1111,1055,56,0.9496,0.0504,90.87,0,0.0409,0.045,45.44,-0.96
COMBO_PERSIST8_OPPle15,1822,1721,101,0.9446,0.0554,90.41,0,0.0405,0.0448,73.82,-0.96
SPIKE_floor88_push94_m5,723,687,36,0.9502,0.0498,91.09,0,0.0393,0.0432,28.45,-0.96
SPIKE_floor88_push92_m10,2154,2033,121,0.9438,0.0562,90.48,0,0.039,0.0431,84.02,-0.96
SPIKE_floor87_push94_m5,742,705,37,0.9501,0.0499,91.1,0,0.0391,0.0429,29.03,-0.96
LATE_le60s,489,465,24,0.9509,0.0491,91.2,0,0.0389,0.0426,19.02,-0.98
SPIKE_floor89_push94_m5,681,646,35,0.9486,0.0514,91.04,0,0.0382,0.042,26.04,-0.96
COMBO_PERSIST8_OPPle20,1975,1857,118,0.9403,0.0597,90.42,0,0.0361,0.0399,71.3,-0.96
SPIKE_floor87_push92_m10,2255,2121,134,0.9406,0.0594,90.49,0,0.0357,0.0395,80.56,-0.96
COMBO_PERSIST8_OPPle25,2004,1883,121,0.9396,0.0604,90.42,0,0.0355,0.0392,71.05,-0.96
COMBO_PERSIST5_OPPle15,2036,1912,124,0.9391,0.0609,90.38,0,0.0353,0.0391,71.87,-0.96
PERSIST_10s,1882,1768,114,0.9394,0.0606,90.44,0,0.0351,0.0388,65.97,-0.96
PERSIST_8s,2026,1902,124,0.9388,0.0612,90.43,0,0.0345,0.0382,69.91,-0.96
SPIKE_floor88_push92_m5,1685,1584,101,0.9401,0.0599,90.64,0,0.0337,0.0372,56.8,-0.96
SPIKE_floor89_push92_m5,1581,1485,96,0.9393,0.0607,90.61,0,0.0331,0.0366,52.41,-0.96
OPP_le15_in20s,3345,3129,216,0.9354,0.0646,90.29,0,0.0325,0.036,108.81,-0.96
FULL_PERSIST8_OPPle15_pmax93_slip1,1771,1672,99,0.9441,0.0559,91.25,0,0.0316,0.0347,56.04,-0.93
COMBO_PERSIST5_OPPle20,2292,2140,152,0.9337,0.0663,90.38,0,0.0299,0.033,68.42,-0.96
SPIKE_floor87_push92_m5,1738,1627,111,0.9361,0.0639,90.64,0,0.0297,0.0328,51.65,-0.96
TP_95c,4838,4512,430,0.9326,0.0889,90.35,95.0,0.0291,0.0323,-13.24,-0.98
COMBO_PERSIST5_OPPle25,2341,2181,160,0.9317,0.0683,90.38,0,0.0278,0.0308,65.1,-0.96
OPP_le15_in15s,3553,3305,248,0.9302,0.0698,90.28,0,0.0274,0.0303,97.25,-0.96
FULL_PERSIST8_OPPle20_pmax93_slip1,1916,1800,116,0.9395,0.0605,91.25,0,0.027,0.0296,51.73,-0.93
COMBO_PERSIST8_OPPBRK25,2026,1886,124,0.9309,0.0612,90.43,86.15,0.0266,0.0294,69.31,-0.96
FULL_PERSIST5_OPPle15_pmax93_slip1,1984,1862,122,0.9385,0.0615,91.23,0,0.0262,0.0287,51.94,-0.93
PERSIST_10s_pmax93_slip1,1822,1710,112,0.9385,0.0615,91.25,0,0.026,0.0285,47.35,-0.93
COMBO_PERSIST10_pmax93_slip1,1822,1710,112,0.9385,0.0615,91.25,0,0.026,0.0285,47.35,-0.93
PERSIST_5s,2376,2208,168,0.9293,0.0707,90.4,0,0.0253,0.028,60.19,-0.96
PERSIST_8s_pmax93_slip1,1961,1839,122,0.9378,0.0622,91.25,0,0.0253,0.0277,49.65,-0.93
COMBO_PERSIST8_pmax93_slip1,1961,1839,122,0.9378,0.0622,91.25,0,0.0253,0.0277,49.65,-0.93
TP_97c,4838,4486,430,0.9272,0.0889,90.35,97.0,0.0238,0.0263,4.82,-0.98
OPP_le15_in10s,3800,3518,282,0.9258,0.0742,90.28,0,0.023,0.0255,87.52,-0.96
FULL_PERSIST5_OPPle20_pmax93_slip1,2231,2081,150,0.9328,0.0672,91.23,0,0.0205,0.0224,45.64,-0.93
PERSIST_3s,2745,2536,209,0.9239,0.0761,90.38,0,0.0201,0.0222,55.12,-0.96
OPP_le20_in20s,4307,3974,333,0.9227,0.0773,90.28,0,0.0198,0.022,85.47,-0.96
