name,trades,wins,reversals,win_rate,reversal_rate,avg_entry,avg_exit,ev_per_share,ev_invested,total_pnl,worst_loss,pct_99_loss,max_drawdown,profit_factor
SPIKE_f88_p93_m10_OPPKILL25_30s,1540,1422,68,0.9234,0.0442,90.6,95.7,0.051,0.0563,78.52,-0.96,-0.94,0.0726,2.43
SPIKE_f89_p94_m10,1002,960,42,0.9581,0.0419,90.74,95.81,0.0507,0.0559,50.83,-0.96,-0.96,0.0685,2.34
SPIKE_f88_p94_m10,1094,1048,46,0.958,0.042,90.75,95.8,0.0504,0.0555,55.15,-0.96,-0.96,0.0685,2.32
SPIKE_f88_p93_m10,1540,1472,68,0.9558,0.0442,90.6,95.58,0.0499,0.0551,76.81,-0.96,-0.96,0.0795,2.25
SPIKE_f88_p93_m10_OPPKILL30_30s,1540,1448,68,0.9403,0.0442,90.6,95.59,0.0499,0.0551,76.84,-0.96,-0.96,0.0726,2.3
SPIKE_f88_p93_m10_OPPKILL30_20s,1540,1460,68,0.9481,0.0442,90.6,95.57,0.0497,0.0549,76.58,-0.96,-0.96,0.0726,2.27
SPIKE_f88_p93_m10_OPPKILL25_20s,1540,1439,68,0.9344,0.0442,90.6,95.54,0.0494,0.0546,76.14,-0.96,-0.96,0.0726,2.29
SPIKE_f88_p93_m10_OPPKILL20_45s,1540,1331,68,0.8643,0.0442,90.6,95.54,0.0494,0.0545,76.1,-0.96,-0.92,0.0784,2.59
SPIKE_f88_p93_m10_OPPKILL25_45s,1540,1396,68,0.9065,0.0442,90.6,95.53,0.0493,0.0544,75.95,-0.96,-0.94,0.0726,2.38
SPIKE_f89_p93_m10,1396,1333,63,0.9549,0.0451,90.59,95.49,0.049,0.0541,68.42,-0.96,-0.96,0.0795,2.2
SPIKE_f88_p93_m10_SL84_60s,1540,1246,68,0.8091,0.0442,90.6,95.48,0.0488,0.0539,75.19,-0.96,-0.91,0.0592,2.81
SPIKE_f88_p93_m10_TP99,1540,1482,68,0.9623,0.0442,90.6,95.43,0.0483,0.0533,74.4,-0.96,-0.96,0.0804,2.47
SPIKE_f88_p93_m10_OPPKILL30_45s,1540,1426,68,0.926,0.0442,90.6,95.41,0.0482,0.0532,74.2,-0.96,-0.94,0.0726,2.24
SPIKE_f88_p93_m10_OPPKILL20_20s,1540,1396,68,0.9065,0.0442,90.6,95.41,0.0481,0.0531,74.08,-0.96,-0.94,0.0784,2.32
SPIKE_f88_p93_m10_OPPKILL20_30s,1540,1364,68,0.8857,0.0442,90.6,95.39,0.0479,0.0529,73.78,-0.96,-0.94,0.0784,2.38
SPIKE_f87_p94_m10,1131,1080,51,0.9549,0.0451,90.77,95.49,0.0472,0.052,53.43,-0.96,-0.96,0.0665,2.16
SPIKE_f88_p93_m10_SL86_60s,1540,1167,68,0.7578,0.0442,90.6,95.24,0.0465,0.0513,71.54,-0.96,-0.91,0.0491,2.9
SPIKE_f87_p93_m10,1597,1521,76,0.9524,0.0476,90.61,95.24,0.0463,0.0511,73.98,-0.96,-0.96,0.0795,2.08
LATE60_PERSIST5_FULL,231,215,6,0.9307,0.026,91.44,96.1,0.0467,0.051,10.78,-0.17,-0.17,0.0056,9.04
SPIKE_f88_p93_m10_exec,1461,1395,66,0.9548,0.0452,91.31,95.48,0.0417,0.0457,60.96,-0.93,-0.93,0.0819,2.01
SPIKE_f89_p92_m10,1919,1815,104,0.9458,0.0542,90.48,94.58,0.041,0.0454,78.75,-0.96,-0.94,0.1026,1.84
SPIKE_f88_p93_m10_SL84,1540,1078,68,0.7,0.0442,90.6,94.71,0.0411,0.0454,63.28,-0.84,-0.3,0.0286,2.7
SPIKE_f88_p93_m10_TP97,1540,1492,68,0.9688,0.0442,90.6,94.69,0.041,0.0452,63.08,-0.91,-0.91,0.0822,2.89
LATE60_PERSIST3_FULL,253,225,8,0.8893,0.0316,91.43,95.53,0.0411,0.0449,10.39,-0.17,-0.17,0.0072,5.6
SPIKE_f88_p93_m10_SL86,1540,1004,68,0.6519,0.0442,90.6,94.65,0.0405,0.0447,62.35,-0.84,-0.29,0.0286,3.0
LATE100_PERSIST5_FULL,412,360,9,0.8738,0.0218,91.4,95.35,0.0395,0.0432,16.28,-0.17,-0.17,0.0065,5.08
SPIKE_f88_p92_m10,2154,2033,121,0.9438,0.0562,90.48,94.38,0.039,0.0431,84.02,-0.96,-0.94,0.114,1.77
SPIKE_f88_p93_m10_SL88_60s,1540,962,68,0.6247,0.0442,90.6,94.42,0.0383,0.0422,58.92,-0.96,-0.9,0.0422,2.91
SPIKE_f87_p92_m10,2255,2121,134,0.9406,0.0594,90.49,94.06,0.0357,0.0395,80.56,-0.96,-0.94,0.1266,1.67
SPIKE_FULL_v4_conservative,938,815,40,0.8689,0.0426,91.39,94.99,0.0361,0.0395,33.83,-0.92,-0.91,0.0563,3.89
LATE100_PERSIST3_FULL,447,376,12,0.8412,0.0268,91.4,94.91,0.0351,0.0384,15.68,-0.17,-0.17,0.0101,3.88
PERSIST8_OPPKILL25_30s,2026,1839,124,0.9077,0.0612,90.43,93.81,0.0338,0.0374,68.5,-0.96,-0.94,0.1431,1.64
SPIKE_f88_p93_m10_SL88,1540,815,68,0.5292,0.0442,90.6,93.9,0.0331,0.0365,50.91,-0.84,-0.18,0.0286,3.05
SPIKE_f88_p93_m10_TP95,1540,1483,68,0.963,0.0442,90.6,93.85,0.0326,0.036,50.16,-0.91,-0.91,0.0437,3.86
SPIKE_FULL_v2,1461,1242,66,0.8501,0.0452,91.31,94.29,0.0298,0.0326,43.54,-0.92,-0.91,0.0463,2.62
PERSIST8_SL86_TP97,2026,1379,124,0.6807,0.0612,90.43,93.35,0.0292,0.0323,59.14,-0.47,-0.12,0.0157,2.92
SPIKE_FULL_v1,1461,1176,66,0.8049,0.0452,91.31,94.13,0.0282,0.0309,41.17,-0.92,-0.91,0.0527,2.62
PERSIST5_OPPKILL25_30s,2376,2140,168,0.9007,0.0707,90.4,93.05,0.0265,0.0294,63.08,-0.96,-0.93,0.1556,1.44
PERSIST8_exec,1961,1839,122,0.9378,0.0622,91.25,93.78,0.0253,0.0277,49.65,-0.93,-0.93,0.1582,1.45
PERSIST5_SL86_TP97,2376,1501,168,0.6317,0.0707,90.4,92.74,0.0234,0.0259,55.68,-0.47,-0.14,0.0212,2.31
SPIKE_FULL_v3_aggressive,1461,1159,66,0.7933,0.0452,91.31,93.02,0.0171,0.0187,24.95,-0.92,-0.91,0.0423,2.43
PERSIST8_FULL,1961,1324,122,0.6752,0.0622,91.25,92.91,0.0167,0.0183,32.71,-0.49,-0.13,0.0225,1.76
PERSIST5_exec,2308,2143,165,0.9285,0.0715,91.23,92.85,0.0162,0.0177,37.35,-0.93,-0.93,0.2211,1.25
PERSIST5_FULL,2308,1447,165,0.6269,0.0715,91.23,92.27,0.0104,0.0114,24.03,-0.49,-0.15,0.0363,1.41
BASELINE,4838,4408,430,0.9111,0.0889,90.35,91.11,0.0076,0.0085,37.01,-0.98,-0.96,0.4899,1.1
