window_id,side,entry_price,entry_time,exit_price,exit_time,exit_reason,won,gross_pnl,entry_fee,exit_fee,net_pnl
25_10_31_01_00_01_15,UP,91,382.7,95,414.9,target,True,0.4000,0.018427,0.005938,0.3756
25_10_31_01_00_01_15,UP,96,415.0,95,419.7,target,False,-0.1000,0.003840,0.005938,-0.1098
25_10_31_01_00_01_15,UP,96,423.2,95,424.2,target,False,-0.1000,0.003840,0.005938,-0.1098
25_10_31_01_00_01_15,UP,97,431.2,96,431.4,target,False,-0.1000,0.002183,0.003840,-0.1060
25_10_31_01_00_01_15,UP,97,433.1,95,433.4,target,False,-0.2000,0.002183,0.005938,-0.2081
25_10_31_01_00_01_15,UP,97,433.5,96,433.7,target,False,-0.1000,0.002183,0.003840,-0.1060
25_10_31_01_00_01_15,UP,97,436.8,95,437.1,target,False,-0.2000,0.002183,0.005938,-0.2081
25_10_31_01_00_01_15,UP,97,437.2,96,437.7,target,False,-0.1000,0.002183,0.003840,-0.1060
25_10_31_01_00_01_15,UP,97,441.9,95,442.1,target,False,-0.2000,0.002183,0.005938,-0.2081
25_10_31_01_00_01_15,UP,97,442.6,95,443.0,target,False,-0.2000,0.002183,0.005938,-0.2081
25_10_31_01_00_01_15,UP,97,443.1,95,443.3,target,False,-0.2000,0.002183,0.005938,-0.2081
25_10_31_01_00_01_15,UP,98,445.2,96,445.3,target,False,-0.2000,0.000980,0.003840,-0.2048
25_10_31_01_00_01_15,UP,98,446.3,95,446.5,target,False,-0.3000,0.000980,0.005938,-0.3069
25_10_31_01_00_01_15,UP,98,449.7,95,450.0,target,False,-0.3000,0.000980,0.005938,-0.3069
25_10_31_01_00_01_15,UP,98,459.0,96,459.2,target,False,-0.2000,0.000980,0.003840,-0.2048
25_10_31_01_00_01_15,UP,98,460.7,95,460.9,target,False,-0.3000,0.000980,0.005938,-0.3069
25_10_31_01_00_01_15,UP,98,469.8,96,470.0,target,False,-0.2000,0.000980,0.003840,-0.2048
25_10_31_01_00_01_15,UP,98,480.3,98,480.4,target,False,0.0000,0.000980,0.000980,-0.0020
25_10_31_01_00_01_15,UP,99,480.7,96,480.8,target,False,-0.3000,0.000248,0.003840,-0.3041
25_10_31_01_00_01_15,UP,99,488.5,97,488.6,target,False,-0.2000,0.000248,0.002183,-0.2024
25_10_31_01_00_01_15,UP,99,488.9,97,489.1,target,False,-0.2000,0.000248,0.002183,-0.2024
25_10_31_01_00_01_15,UP,98,489.3,97,489.5,target,False,-0.1000,0.000980,0.002183,-0.1032
25_10_31_01_00_01_15,UP,99,497.9,98,498.0,target,False,-0.1000,0.000248,0.000980,-0.1012
25_10_31_01_00_01_15,UP,98,527.3,97,527.3,target,False,-0.1000,0.000980,0.002183,-0.1032
25_10_31_01_00_01_15,UP,98,533.4,97,533.4,target,False,-0.1000,0.000980,0.002183,-0.1032
25_10_31_01_00_01_15,UP,98,533.7,98,533.7,target,False,0.0000,0.000980,0.000980,-0.0020
25_10_31_01_00_01_15,UP,99,559.7,97,559.9,target,False,-0.2000,0.000248,0.002183,-0.2024
25_10_31_01_00_01_15,UP,99,566.1,100,900.0,settlement,True,0.1000,0.000248,0.000000,0.0998
25_10_31_02_00_02_15,DOWN,90,366.0,82,425.9,stop,False,-0.8000,0.022500,0.066420,-0.8889
25_10_31_02_00_02_15,DOWN,91,434.8,95,490.1,target,True,0.4000,0.018427,0.005938,0.3756
25_10_31_02_00_02_15,DOWN,96,490.5,96,496.4,target,False,0.0000,0.003840,0.003840,-0.0077
25_10_31_02_00_02_15,DOWN,97,496.5,96,502.8,target,False,-0.1000,0.002183,0.003840,-0.1060
25_10_31_02_00_02_15,DOWN,98,502.9,97,503.2,target,False,-0.1000,0.000980,0.002183,-0.1032
25_10_31_02_00_02_15,DOWN,98,503.2,97,504.6,target,False,-0.1000,0.000980,0.002183,-0.1032
25_10_31_02_00_02_15,DOWN,98,504.9,96,506.4,target,False,-0.2000,0.000980,0.003840,-0.2048
25_10_31_02_00_02_15,DOWN,98,506.7,97,506.8,target,False,-0.1000,0.000980,0.002183,-0.1032
25_10_31_02_00_02_15,DOWN,98,507.1,96,511.1,target,False,-0.2000,0.000980,0.003840,-0.2048
25_10_31_02_00_02_15,DOWN,98,511.4,97,511.5,target,False,-0.1000,0.000980,0.002183,-0.1032
25_10_31_02_00_02_15,DOWN,98,511.8,96,512.2,target,False,-0.2000,0.000980,0.003840,-0.2048
25_10_31_02_00_02_15,DOWN,97,512.5,96,513.6,target,False,-0.1000,0.002183,0.003840,-0.1060
25_10_31_02_00_02_15,DOWN,98,513.9,96,514.0,target,False,-0.2000,0.000980,0.003840,-0.2048
25_10_31_02_00_02_15,DOWN,98,514.3,96,515.0,target,False,-0.2000,0.000980,0.003840,-0.2048
25_10_31_02_00_02_15,DOWN,99,515.0,97,518.2,target,False,-0.2000,0.000248,0.002183,-0.2024
25_10_31_02_00_02_15,DOWN,99,518.5,97,521.6,target,False,-0.2000,0.000248,0.002183,-0.2024
25_10_31_02_00_02_15,DOWN,99,521.9,97,523.1,target,False,-0.2000,0.000248,0.002183,-0.2024
25_10_31_02_00_02_15,DOWN,98,523.2,97,524.2,target,False,-0.1000,0.000980,0.002183,-0.1032
25_10_31_02_00_02_15,DOWN,99,524.2,97,525.6,target,False,-0.2000,0.000248,0.002183,-0.2024
25_10_31_02_00_02_15,DOWN,99,526.0,98,532.4,target,False,-0.1000,0.000248,0.000980,-0.1012
25_10_31_02_00_02_15,DOWN,99,532.5,97,534.5,target,False,-0.2000,0.000248,0.002183,-0.2024
25_10_31_02_00_02_15,DOWN,99,534.7,97,535.7,target,False,-0.2000,0.000248,0.002183,-0.2024
25_10_31_02_00_02_15,DOWN,99,536.1,97,536.3,target,False,-0.2000,0.000248,0.002183,-0.2024
25_10_31_02_00_02_15,DOWN,98,536.4,97,537.8,target,False,-0.1000,0.000980,0.002183,-0.1032
25_10_31_02_00_02_15,DOWN,99,538.0,97,538.1,target,False,-0.2000,0.000248,0.002183,-0.2024
25_10_31_02_00_02_15,DOWN,98,538.4,97,538.5,target,False,-0.1000,0.000980,0.002183,-0.1032
25_10_31_02_00_02_15,DOWN,99,538.7,97,539.1,target,False,-0.2000,0.000248,0.002183,-0.2024
25_10_31_02_00_02_15,DOWN,98,539.2,97,580.8,target,False,-0.1000,0.000980,0.002183,-0.1032
25_10_31_02_00_02_15,DOWN,99,581.0,97,581.6,target,False,-0.2000,0.000248,0.002183,-0.2024
25_10_31_02_00_02_15,DOWN,99,581.7,98,608.5,target,False,-0.1000,0.000248,0.000980,-0.1012
25_10_31_03_00_03_15,DOWN,90,283.6,82,313.2,stop,False,-0.8000,0.022500,0.066420,-0.8889
25_10_31_03_00_03_15,UP,90,475.9,82,476.2,stop,False,-0.8000,0.022500,0.066420,-0.8889
25_10_31_03_00_03_15,UP,90,477.4,82,482.0,stop,False,-0.8000,0.022500,0.066420,-0.8889
25_10_31_03_00_03_15,UP,90,521.1,96,618.8,target,True,0.6000,0.022500,0.003840,0.5737
25_10_31_04_00_04_15,UP,90,559.4,96,566.2,target,True,0.6000,0.022500,0.003840,0.5737
25_10_31_04_00_04_15,UP,98,569.7,97,569.8,target,False,-0.1000,0.000980,0.002183,-0.1032
25_10_31_04_00_04_15,UP,99,576.2,97,576.3,target,False,-0.2000,0.000248,0.002183,-0.2024
25_10_31_04_00_04_15,UP,97,576.6,96,576.7,target,False,-0.1000,0.002183,0.003840,-0.1060
25_10_31_04_00_04_15,UP,97,577.8,96,578.2,target,False,-0.1000,0.002183,0.003840,-0.1060
25_10_31_04_00_04_15,UP,98,578.2,96,579.6,target,False,-0.2000,0.000980,0.003840,-0.2048
25_10_31_04_00_04_15,UP,97,579.6,96,581.1,target,False,-0.1000,0.002183,0.003840,-0.1060
25_10_31_04_00_04_15,UP,98,581.1,97,581.5,target,False,-0.1000,0.000980,0.002183,-0.1032
25_10_31_04_00_04_15,UP,99,581.5,98,586.9,target,False,-0.1000,0.000248,0.000980,-0.1012
25_10_31_04_00_04_15,UP,99,587.0,97,588.4,target,False,-0.2000,0.000248,0.002183,-0.2024
25_10_31_04_00_04_15,UP,99,588.8,97,589.9,target,False,-0.2000,0.000248,0.002183,-0.2024
25_10_31_04_00_04_15,UP,98,590.0,98,590.3,target,False,0.0000,0.000980,0.000980,-0.0020
25_10_31_04_00_04_15,UP,99,590.4,97,590.6,target,False,-0.2000,0.000248,0.002183,-0.2024
25_10_31_04_00_04_15,UP,99,594.0,98,594.3,target,False,-0.1000,0.000248,0.000980,-0.1012
25_10_31_04_00_04_15,UP,99,598.3,97,598.5,target,False,-0.2000,0.000248,0.002183,-0.2024
25_10_31_05_00_05_15,DOWN,90,236.0,82,398.1,stop,False,-0.8000,0.022500,0.066420,-0.8889
25_10_31_05_00_05_15,DOWN,90,570.0,82,662.9,stop,False,-0.8000,0.022500,0.066420,-0.8889
25_10_31_06_00_06_15,DOWN,90,383.7,82,412.8,stop,False,-0.8000,0.022500,0.066420,-0.8889
25_10_31_06_00_06_15,DOWN,91,427.1,95,506.4,target,True,0.4000,0.018427,0.005938,0.3756
25_10_31_06_00_06_15,DOWN,96,506.5,95,509.5,target,False,-0.1000,0.003840,0.005938,-0.1098
25_10_31_06_00_06_15,DOWN,97,509.7,95,516.3,target,False,-0.2000,0.002183,0.005938,-0.2081
25_10_31_06_00_06_15,DOWN,97,516.5,96,519.4,target,False,-0.1000,0.002183,0.003840,-0.1060
25_10_31_06_00_06_15,DOWN,97,519.5,96,528.2,target,False,-0.1000,0.002183,0.003840,-0.1060
25_10_31_06_00_06_15,DOWN,97,528.6,95,529.7,target,False,-0.2000,0.002183,0.005938,-0.2081
25_10_31_06_00_06_15,DOWN,97,530.1,96,531.1,target,False,-0.1000,0.002183,0.003840,-0.1060
25_10_31_06_00_06_15,DOWN,97,531.2,95,531.5,target,False,-0.2000,0.002183,0.005938,-0.2081
25_10_31_06_00_06_15,DOWN,97,531.9,96,532.6,target,False,-0.1000,0.002183,0.003840,-0.1060
25_10_31_06_00_06_15,DOWN,97,532.7,96,533.0,target,False,-0.1000,0.002183,0.003840,-0.1060
25_10_31_06_00_06_15,DOWN,98,533.0,95,534.5,target,False,-0.3000,0.000980,0.005938,-0.3069
25_10_31_06_00_06_15,DOWN,98,534.5,97,536.3,target,False,-0.1000,0.000980,0.002183,-0.1032
25_10_31_06_00_06_15,DOWN,98,536.4,96,540.0,target,False,-0.2000,0.000980,0.003840,-0.2048
25_10_31_06_00_06_15,DOWN,97,540.0,96,540.3,target,False,-0.1000,0.002183,0.003840,-0.1060
25_10_31_06_00_06_15,DOWN,97,540.4,95,541.9,target,False,-0.2000,0.002183,0.005938,-0.2081
25_10_31_06_00_06_15,DOWN,98,542.2,95,542.3,target,False,-0.3000,0.000980,0.005938,-0.3069
25_10_31_06_00_06_15,DOWN,98,543.8,97,543.8,target,False,-0.1000,0.000980,0.002183,-0.1032
25_10_31_06_00_06_15,DOWN,98,544.2,97,545.7,target,False,-0.1000,0.000980,0.002183,-0.1032
25_10_31_06_00_06_15,DOWN,97,545.7,96,546.1,target,False,-0.1000,0.002183,0.003840,-0.1060
25_10_31_06_00_06_15,DOWN,98,546.1,96,546.4,target,False,-0.2000,0.000980,0.003840,-0.2048
25_10_31_06_00_06_15,DOWN,97,546.8,96,547.2,target,False,-0.1000,0.002183,0.003840,-0.1060
25_10_31_06_00_06_15,DOWN,98,547.2,96,547.6,target,False,-0.2000,0.000980,0.003840,-0.2048
25_10_31_06_00_06_15,DOWN,97,552.5,96,552.8,target,False,-0.1000,0.002183,0.003840,-0.1060
25_10_31_06_00_06_15,DOWN,97,553.3,95,553.3,target,False,-0.2000,0.002183,0.005938,-0.2081
25_10_31_06_00_06_15,DOWN,97,564.4,96,564.4,target,False,-0.1000,0.002183,0.003840,-0.1060
25_10_31_06_00_06_15,DOWN,98,564.8,97,564.8,target,False,-0.1000,0.000980,0.002183,-0.1032
25_10_31_06_00_06_15,DOWN,98,568.9,97,568.9,target,False,-0.1000,0.000980,0.002183,-0.1032
25_10_31_06_00_06_15,DOWN,99,570.8,96,570.8,target,False,-0.3000,0.000248,0.003840,-0.3041
25_10_31_06_00_06_15,DOWN,98,571.2,96,571.2,target,False,-0.2000,0.000980,0.003840,-0.2048
25_10_31_06_00_06_15,DOWN,98,571.6,95,571.6,target,False,-0.3000,0.000980,0.005938,-0.3069
25_10_31_06_00_06_15,DOWN,98,582.6,96,582.7,target,False,-0.2000,0.000980,0.003840,-0.2048
25_10_31_06_00_06_15,DOWN,98,584.0,97,584.1,target,False,-0.1000,0.000980,0.002183,-0.1032
25_10_31_06_00_06_15,DOWN,98,597.4,95,597.5,target,False,-0.3000,0.000980,0.005938,-0.3069
25_10_31_06_00_06_15,DOWN,99,597.7,98,597.8,target,False,-0.1000,0.000248,0.000980,-0.1012
25_10_31_07_00_07_15,DOWN,90,324.3,95,476.4,target,True,0.5000,0.022500,0.005938,0.4716
25_10_31_07_00_07_15,DOWN,96,476.6,95,497.6,target,False,-0.1000,0.003840,0.005938,-0.1098
25_10_31_07_00_07_15,DOWN,96,497.6,95,499.0,target,False,-0.1000,0.003840,0.005938,-0.1098
25_10_31_07_00_07_15,DOWN,97,499.4,95,518.9,target,False,-0.2000,0.002183,0.005938,-0.2081
25_10_31_07_00_07_15,DOWN,97,519.3,97,526.5,target,False,0.0000,0.002183,0.002183,-0.0044
25_10_31_07_00_07_15,DOWN,98,526.8,97,526.9,target,False,-0.1000,0.000980,0.002183,-0.1032
25_10_31_07_00_07_15,DOWN,99,546.7,97,546.7,target,False,-0.2000,0.000248,0.002183,-0.2024
25_10_31_07_00_07_15,DOWN,99,561.8,98,562.0,target,False,-0.1000,0.000248,0.000980,-0.1012
25_10_31_07_00_07_15,DOWN,99,579.9,97,580.2,target,False,-0.2000,0.000248,0.002183,-0.2024
25_10_31_07_00_07_15,DOWN,99,587.5,97,587.9,target,False,-0.2000,0.000248,0.002183,-0.2024
25_10_31_07_00_07_15,DOWN,99,599.3,97,613.9,target,False,-0.2000,0.000248,0.002183,-0.2024
25_10_31_08_00_08_15,UP,90,265.3,82,411.1,stop,False,-0.8000,0.022500,0.066420,-0.8889
